"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2009","77.86","77.89","78.02","77.41","","-0.06%"
"12/30/2009","77.91","77.88","78.22","77.80","","0.10%"
"12/29/2009","77.83","77.70","77.93","77.33","","0.26%"
"12/28/2009","77.63","77.64","77.86","77.54","","-0.01%"
"12/25/2009","77.64","77.72","77.80","77.52","","-0.26%"
"12/24/2009","77.84","77.89","77.92","77.50","","-0.08%"
"12/23/2009","77.90","78.25","78.36","77.74","","-0.45%"
"12/22/2009","78.25","78.04","78.45","77.85","","0.27%"
"12/21/2009","78.04","77.85","78.14","77.59","","0.28%"
"12/18/2009","77.82","77.73","78.14","77.38","","0.17%"
"12/17/2009","77.69","76.95","77.94","76.91","","0.90%"
"12/16/2009","77.00","76.94","77.04","76.60","","0.05%"
"12/15/2009","76.96","76.34","77.09","76.33","","0.80%"
"12/14/2009","76.35","76.57","76.58","76.25","","-0.29%"
"12/11/2009","76.57","76.02","76.73","75.90","","0.68%"
"12/10/2009","76.05","75.98","76.21","75.86","","0.01%"
"12/09/2009","76.04","76.28","76.33","75.83","","-0.35%"
"12/08/2009","76.31","75.75","76.31","75.51","","0.71%"
"12/07/2009","75.77","75.76","76.18","75.45","","-0.18%"
"12/04/2009","75.91","74.78","75.94","74.60","","1.72%"
"12/03/2009","74.63","74.53","74.86","74.33","","-0.05%"
"12/02/2009","74.67","74.41","74.67","74.36","","0.42%"
"12/01/2009","74.36","74.71","75.09","74.27","","-0.56%"
"11/30/2009","74.78","74.80","74.96","74.49","","-0.29%"
"11/27/2009","75.00","74.78","75.58","74.75","","0.23%"
"11/26/2009","74.83","74.32","75.01","74.17","","0.75%"
"11/25/2009","74.27","75.04","75.11","74.23","","-1.07%"
"11/24/2009","75.07","75.19","75.45","75.00","","-0.01%"
"11/23/2009","75.08","75.58","75.58","74.95","","-0.77%"
"11/20/2009","75.66","75.24","75.88","75.20","","0.49%"
"11/19/2009","75.29","75.11","75.55","75.09","","0.13%"
"11/18/2009","75.19","75.24","75.33","74.90","","-0.24%"
"11/17/2009","75.37","74.81","75.62","74.78","","0.61%"
"11/16/2009","74.91","75.07","75.31","74.68","","-0.56%"
"11/13/2009","75.33","75.57","75.66","75.14","","-0.36%"
"11/12/2009","75.60","75.06","75.77","74.93","","0.59%"
"11/11/2009","75.16","74.93","75.22","74.77","","0.19%"
"11/10/2009","75.02","75.00","75.27","74.95","","-0.01%"
"11/09/2009","75.03","75.59","75.72","74.93","","-1.04%"
"11/06/2009","75.82","75.76","75.97","75.50","","0.11%"
"11/05/2009","75.74","75.88","75.98","75.51","","0.13%"
"11/04/2009","75.64","76.37","76.40","75.60","","-0.98%"
"11/03/2009","76.39","76.10","76.82","76.07","","0.13%"
"11/02/2009","76.29","76.37","76.41","75.93","","-0.01%"
"10/30/2009","76.30","75.92","76.43","75.83","","0.50%"
"10/29/2009","75.92","76.44","76.58","75.86","","-0.65%"
"10/28/2009","76.42","76.09","76.56","75.99","","0.37%"
"10/27/2009","76.14","76.08","76.33","75.76","","0.11%"
"10/26/2009","76.06","75.42","76.12","75.20","","0.78%"
"10/23/2009","75.47","75.07","75.52","74.95","","0.51%"
"10/22/2009","75.09","75.08","75.52","75.01","","0.16%"
"10/21/2009","74.97","75.55","75.72","74.94","","-0.78%"
"10/20/2009","75.56","75.27","75.76","75.10","","0.07%"
"10/19/2009","75.51","75.67","75.91","75.18","","-0.12%"
"10/16/2009","75.60","75.39","75.90","75.30","","0.16%"
"10/15/2009","75.48","75.40","75.77","75.21","","-0.09%"
