"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","1.2168","1.2172","1.2363","1.2107","","-0.28%"
"12/30/2008","1.2202","1.2200","1.2343","1.2142","","0.18%"
"12/29/2008","1.2180","1.2220","1.2225","1.2072","","-0.34%"
"12/26/2008","1.2221","1.2133","1.2226","1.2127","","0.44%"
"12/25/2008","1.2167","1.2124","1.2203","1.2121","","0.21%"
"12/24/2008","1.2142","1.2178","1.2210","1.2083","","-0.21%"
"12/23/2008","1.2168","1.2194","1.2254","1.2049","","-0.24%"
"12/22/2008","1.2197","1.2156","1.2215","1.1987","","-0.38%"
"12/19/2008","1.2243","1.2050","1.2376","1.2031","","1.60%"
"12/18/2008","1.2050","1.1917","1.2117","1.1818","","0.74%"
"12/17/2008","1.1961","1.2045","1.2121","1.1932","","-0.73%"
"12/16/2008","1.2049","1.2340","1.2379","1.1988","","-2.28%"
"12/15/2008","1.2330","1.2465","1.2467","1.2231","","-1.28%"
"12/12/2008","1.2490","1.2351","1.2515","1.2284","","1.11%"
"12/11/2008","1.2353","1.2587","1.2610","1.2159","","-1.90%"
"12/10/2008","1.2592","1.2648","1.2666","1.2488","","-0.50%"
"12/09/2008","1.2655","1.2520","1.2746","1.2497","","0.86%"
"12/08/2008","1.2547","1.2713","1.2756","1.2448","","-1.20%"
"12/05/2008","1.2700","1.2761","1.3009","1.2687","","-0.60%"
"12/04/2008","1.2777","1.2536","1.2800","1.2515","","2.00%"
"12/03/2008","1.2527","1.2505","1.2668","1.2442","","0.02%"
"12/02/2008","1.2524","1.2470","1.2584","1.2382","","0.68%"
"12/01/2008","1.2439","1.2369","1.2525","1.2306","","0.66%"
"11/28/2008","1.2357","1.2315","1.2468","1.2313","","0.30%"
"11/27/2008","1.2320","1.2313","1.2376","1.2236","","0.39%"
"11/26/2008","1.2272","1.2244","1.2415","1.2161","","0.15%"
"11/25/2008","1.2254","1.2306","1.2479","1.2125","","-0.38%"
"11/24/2008","1.2301","1.2675","1.2777","1.2243","","-3.51%"
"11/21/2008","1.2748","1.2959","1.2986","1.2744","","-1.47%"
"11/20/2008","1.2938","1.2544","1.2950","1.2515","","3.18%"
"11/19/2008","1.2539","1.2313","1.2548","1.2286","","2.10%"
"11/18/2008","1.2281","1.2268","1.2387","1.2180","","0.38%"
"11/17/2008","1.2235","1.2388","1.2424","1.2113","","-0.39%"
"11/14/2008","1.2283","1.2138","1.2317","1.2100","","1.26%"
"11/13/2008","1.2130","1.2361","1.2448","1.2107","","-1.81%"
"11/12/2008","1.2353","1.2063","1.2384","1.1981","","2.50%"
"11/11/2008","1.2052","1.1949","1.2098","1.1890","","0.58%"
"11/10/2008","1.1983","1.1774","1.1993","1.1660","","0.79%"
"11/07/2008","1.1889","1.1969","1.2026","1.1671","","-0.32%"
"11/06/2008","1.1927","1.1688","1.1953","1.1616","","2.18%"
"11/05/2008","1.1673","1.1495","1.1693","1.1466","","1.44%"
"11/04/2008","1.1507","1.1807","1.1896","1.1480","","-2.63%"
"11/03/2008","1.1818","1.2098","1.2119","1.1801","","-2.53%"
"10/31/2008","1.2125","1.2017","1.2381","1.1943","","0.91%"
"10/30/2008","1.2016","1.2207","1.2256","1.1900","","-1.89%"
"10/29/2008","1.2248","1.2705","1.2872","1.2126","","-3.70%"
"10/28/2008","1.2718","1.2981","1.3020","1.2717","","-1.88%"
"10/27/2008","1.2962","1.2784","1.2972","1.2703","","1.46%"
"10/24/2008","1.2776","1.2437","1.2843","1.2437","","2.63%"
"10/23/2008","1.2448","1.2549","1.2743","1.2432","","-0.77%"
"10/22/2008","1.2544","1.2125","1.2599","1.2106","","3.34%"
"10/21/2008","1.2138","1.1926","1.2210","1.1909","","1.98%"
"10/20/2008","1.1902","1.1822","1.1984","1.1740","","0.66%"
