"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2008","0,7152","0,7108","0,7221","0,7067","","0,63%"
"30.12.2008","0,7107","0,7169","0,7185","0,7030","","-0,70%"
"29.12.2008","0,7157","0,7109","0,7158","0,6961","","0,65%"
"26.12.2008","0,7111","0,7138","0,7149","0,7082","","-0,34%"
"25.12.2008","0,7135","0,7135","0,7158","0,7116","","-0,07%"
"24.12.2008","0,7140","0,7174","0,7188","0,7131","","-0,29%"
"23.12.2008","0,7161","0,7174","0,7185","0,7131","","-0,15%"
"22.12.2008","0,7172","0,7176","0,7194","0,7079","","-0,22%"
"19.12.2008","0,7188","0,7018","0,7235","0,6987","","2,19%"
"18.12.2008","0,7034","0,6940","0,7050","0,6793","","1,33%"
"17.12.2008","0,6942","0,7114","0,7145","0,6925","","-2,18%"
"16.12.2008","0,7097","0,7300","0,7337","0,7068","","-2,67%"
"15.12.2008","0,7292","0,7479","0,7480","0,7291","","-2,49%"
"12.12.2008","0,7478","0,7487","0,7548","0,7453","","-0,11%"
"11.12.2008","0,7486","0,7683","0,7692","0,7457","","-2,58%"
"10.12.2008","0,7684","0,7735","0,7752","0,7649","","-0,77%"
"09.12.2008","0,7744","0,7717","0,7815","0,7690","","0,18%"
"08.12.2008","0,7730","0,7856","0,7863","0,7712","","-1,57%"
"05.12.2008","0,7853","0,7818","0,7919","0,7811","","0,32%"
"04.12.2008","0,7828","0,7869","0,7969","0,7782","","-0,52%"
"03.12.2008","0,7869","0,7864","0,7935","0,7846","","0,05%"
"02.12.2008","0,7865","0,7928","0,7960","0,7832","","-0,71%"
"01.12.2008","0,7921","0,7865","0,7947","0,7864","","0,60%"
"28.11.2008","0,7874","0,7747","0,7908","0,7716","","1,50%"
"27.11.2008","0,7758","0,7755","0,7778","0,7710","","0,01%"
"26.11.2008","0,7757","0,7653","0,7801","0,7648","","1,32%"
"25.11.2008","0,7656","0,7733","0,7810","0,7643","","-1,14%"
"24.11.2008","0,7744","0,7940","0,7958","0,7733","","-2,57%"
"21.11.2008","0,7948","0,8030","0,8049","0,7910","","-0,98%"
"20.11.2008","0,8027","0,7997","0,8029","0,7939","","0,53%"
"19.11.2008","0,7985","0,7926","0,7989","0,7803","","0,81%"
"18.11.2008","0,7921","0,7905","0,7957","0,7872","","0,18%"
"17.11.2008","0,7907","0,7976","0,7991","0,7847","","-0,52%"
"14.11.2008","0,7948","0,7820","0,7948","0,7794","","1,70%"
"13.11.2008","0,7815","0,7996","0,8074","0,7778","","-2,53%"
"12.11.2008","0,8018","0,7981","0,8022","0,7915","","0,43%"
"11.11.2008","0,7984","0,7840","0,7996","0,7810","","1,64%"
"10.11.2008","0,7855","0,7797","0,7863","0,7734","","0,06%"
"07.11.2008","0,7850","0,7865","0,7904","0,7780","","-0,34%"
"06.11.2008","0,7877","0,7713","0,7877","0,7710","","2,07%"
"05.11.2008","0,7717","0,7702","0,7817","0,7623","","0,47%"
"04.11.2008","0,7681","0,7916","0,7984","0,7673","","-2,85%"
"03.11.2008","0,7906","0,7843","0,7939","0,7752","","0,67%"
"31.10.2008","0,7853","0,7775","0,7894","0,7753","","1,37%"
"30.10.2008","0,7747","0,7708","0,7811","0,7520","","0,41%"
"29.10.2008","0,7715","0,7836","0,7922","0,7695","","-1,86%"
"28.10.2008","0,7861","0,8013","0,8112","0,7846","","-1,86%"
"27.10.2008","0,8010","0,7967","0,8109","0,7881","","1,11%"
"24.10.2008","0,7922","0,7706","0,8003","0,7703","","2,98%"
"23.10.2008","0,7693","0,7792","0,7855","0,7688","","-1,16%"
"22.10.2008","0,7783","0,7656","0,7830","0,7646","","1,62%"
"21.10.2008","0,7659","0,7500","0,7663","0,7487","","2,28%"
"20.10.2008","0,7488","0,7459","0,7527","0,7389","","0,40%"
"17.10.2008","0,7458","0,7416","0,7470","0,7396","","0,57%"
"16.10.2008","0,7416","0,7424","0,7493","0,7386","","-0,20%"
"15.10.2008","0,7431","0,7341","0,7432","0,7305","","1,25%"
"14.10.2008","0,7339","0,7356","0,7361","0,7261","","-0,22%"
"13.10.2008","0,7355","0,7374","0,7431","0,7307","","-1,34%"
"10.10.2008","0,7455","0,7357","0,7542","0,7325","","1,32%"
"09.10.2008","0,7358","0,7336","0,7364","0,7253","","0,41%"
"08.10.2008","0,7328","0,7331","0,7383","0,7269","","-0,42%"
"07.10.2008","0,7359","0,7414","0,7418","0,7276","","-0,74%"
"06.10.2008","0,7414","0,7319","0,7440","0,7311","","2,09%"
"03.10.2008","0,7262","0,7237","0,7298","0,7190","","0,32%"
"02.10.2008","0,7239","0,7129","0,7276","0,7129","","1,57%"
"01.10.2008","0,7127","0,7078","0,7156","0,7054","","0,66%"
"30.09.2008","0,7080","0,6936","0,7138","0,6930","","2,06%"
"29.09.2008","0,6937","0,6888","0,6992","0,6865","","1,37%"
"26.09.2008","0,6843","0,6841","0,6871","0,6812","","0,07%"
"25.09.2008","0,6838","0,6844","0,6868","0,6770","","-0,07%"
"24.09.2008","0,6843","0,6827","0,6845","0,6780","","0,23%"
"23.09.2008","0,6827","0,6759","0,6838","0,6744","","0,98%"
"22.09.2008","0,6761","0,6901","0,6927","0,6725","","-2,20%"
"19.09.2008","0,6913","0,6979","0,7068","0,6896","","-0,89%"
"18.09.2008","0,6975","0,6983","0,7004","0,6876","","-0,30%"
"17.09.2008","0,6996","0,7088","0,7096","0,6951","","-1,21%"
"16.09.2008","0,7082","0,7010","0,7103","0,6993","","0,93%"
"15.09.2008","0,7017","0,6985","0,7100","0,6905","","-0,16%"
"12.09.2008","0,7028","0,7135","0,7157","0,7025","","-1,36%"
"11.09.2008","0,7125","0,7157","0,7205","0,7121","","-0,46%"
"10.09.2008","0,7158","0,7086","0,7159","0,7052","","1,19%"
"09.09.2008","0,7074","0,7082","0,7119","0,7028","","-0,06%"
"08.09.2008","0,7078","0,6951","0,7116","0,6930","","0,98%"
"05.09.2008","0,7009","0,7025","0,7045","0,6968","","-0,17%"
"04.09.2008","0,7021","0,6899","0,7034","0,6874","","1,74%"
"03.09.2008","0,6901","0,6888","0,6952","0,6880","","0,16%"
"02.09.2008","0,6890","0,6846","0,6913","0,6846","","0,64%"
"01.09.2008","0,6846","0,6801","0,6858","0,6793","","0,45%"
"29.08.2008","0,6815","0,6800","0,6831","0,6770","","0,18%"
"28.08.2008","0,6803","0,6796","0,6816","0,6751","","0,13%"
"27.08.2008","0,6794","0,6828","0,6834","0,6766","","-0,45%"
"26.08.2008","0,6825","0,6779","0,6864","0,6774","","0,68%"
"25.08.2008","0,6779","0,6762","0,6805","0,6753","","0,28%"
"22.08.2008","0,6760","0,6714","0,6776","0,6710","","0,75%"
"21.08.2008","0,6710","0,6782","0,6788","0,6706","","-1,11%"
"20.08.2008","0,6785","0,6761","0,6816","0,6753","","0,31%"
"19.08.2008","0,6764","0,6809","0,6836","0,6758","","-0,59%"
"18.08.2008","0,6804","0,6810","0,6815","0,6770","","-0,06%"
"15.08.2008","0,6808","0,6756","0,6822","0,6752","","0,86%"
"14.08.2008","0,6750","0,6701","0,6767","0,6688","","0,72%"
"13.08.2008","0,6702","0,6705","0,6738","0,6674","","0,00%"
"12.08.2008","0,6702","0,6711","0,6751","0,6681","","-0,18%"
"11.08.2008","0,6714","0,6694","0,6721","0,6629","","0,77%"
"08.08.2008","0,6663","0,6526","0,6667","0,6520","","2,10%"
"07.08.2008","0,6526","0,6486","0,6532","0,6450","","0,60%"
"06.08.2008","0,6487","0,6471","0,6495","0,6444","","0,26%"
"05.08.2008","0,6470","0,6421","0,6473","0,6419","","0,79%"
"04.08.2008","0,6419","0,6422","0,6430","0,6396","","-0,08%"
"01.08.2008","0,6424","0,6410","0,6447","0,6409","","0,22%"
"31.07.2008","0,6410","0,6418","0,6423","0,6368","","-0,16%"
"30.07.2008","0,6420","0,6416","0,6444","0,6402","","0,09%"
"29.07.2008","0,6414","0,6353","0,6430","0,6345","","0,99%"
"28.07.2008","0,6351","0,6369","0,6377","0,6341","","-0,22%"
"25.07.2008","0,6365","0,6379","0,6384","0,6347","","-0,24%"
"24.07.2008","0,6380","0,6376","0,6399","0,6363","","0,11%"
"23.07.2008","0,6373","0,6332","0,6381","0,6329","","0,58%"
"22.07.2008","0,6336","0,6278","0,6347","0,6271","","0,92%"
"21.07.2008","0,6278","0,6314","0,6319","0,6275","","-0,51%"
"18.07.2008","0,6310","0,6305","0,6328","0,6293","","0,10%"
"17.07.2008","0,6304","0,6320","0,6337","0,6291","","-0,24%"
"16.07.2008","0,6319","0,6283","0,6329","0,6269","","0,61%"
"15.07.2008","0,6281","0,6288","0,6302","0,6234","","-0,10%"
"14.07.2008","0,6287","0,6262","0,6312","0,6261","","0,22%"
"11.07.2008","0,6273","0,6333","0,6344","0,6270","","-1,01%"
"10.07.2008","0,6337","0,6353","0,6373","0,6328","","-0,24%"
"09.07.2008","0,6352","0,6382","0,6390","0,6347","","-0,45%"
"08.07.2008","0,6381","0,6359","0,6395","0,6352","","0,31%"
"07.07.2008","0,6361","0,6370","0,6405","0,6347","","-0,09%"
"04.07.2008","0,6367","0,6369","0,6389","0,6357","","-0,05%"
"03.07.2008","0,6370","0,6294","0,6378","0,6285","","1,14%"
"02.07.2008","0,6298","0,6331","0,6339","0,6293","","-0,55%"
"01.07.2008","0,6333","0,6346","0,6361","0,6317","","-0,22%"
"30.06.2008","0,6347","0,6338","0,6357","0,6314","","0,25%"
"27.06.2008","0,6331","0,6348","0,6362","0,6331","","-0,22%"
"26.06.2008","0,6345","0,6382","0,6400","0,6341","","-0,60%"
"25.06.2008","0,6383","0,6424","0,6436","0,6374","","-0,62%"
"24.06.2008","0,6423","0,6444","0,6454","0,6401","","-0,28%"
"23.06.2008","0,6441","0,6397","0,6466","0,6397","","0,51%"
"20.06.2008","0,6408","0,6448","0,6455","0,6388","","-0,67%"
"19.06.2008","0,6451","0,6438","0,6465","0,6415","","0,14%"
"18.06.2008","0,6442","0,6449","0,6468","0,6435","","-0,09%"
"17.06.2008","0,6448","0,6465","0,6469","0,6429","","-0,25%"
