"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2008","0.6843","0.6937","0.6966","0.6802","","-1.20%"
"12/30/2008","0.6926","0.6923","0.6954","0.6870","","0.35%"
"12/29/2008","0.6902","0.6819","0.6919","0.6768","","1.11%"
"12/26/2008","0.6826","0.6780","0.6827","0.6753","","0.00%"
"12/25/2008","0.6826","0.6787","0.6827","0.6778","","0.68%"
"12/24/2008","0.6780","0.6789","0.6824","0.6752","","0.04%"
"12/23/2008","0.6777","0.6743","0.6815","0.6711","","0.55%"
"12/22/2008","0.6740","0.6688","0.6808","0.6668","","0.61%"
"12/19/2008","0.6699","0.6652","0.6751","0.6583","","0.87%"
"12/18/2008","0.6641","0.6652","0.6661","0.6638","","3.03%"
"12/17/2008","0.6446","0.6414","0.6560","0.6358","","0.56%"
"12/16/2008","0.6410","0.6527","0.6578","0.6389","","-1.82%"
"12/15/2008","0.6529","0.6685","0.6703","0.6501","","-2.41%"
"12/12/2008","0.6690","0.6654","0.6750","0.6613","","0.53%"
"12/11/2008","0.6655","0.6767","0.6769","0.6629","","-1.58%"
"12/10/2008","0.6762","0.6780","0.6788","0.6719","","-0.41%"
"12/09/2008","0.6790","0.6708","0.6814","0.6701","","1.22%"
"12/08/2008","0.6708","0.6784","0.6805","0.6644","","-1.05%"
"12/05/2008","0.6779","0.6810","0.6885","0.6777","","-0.54%"
"12/04/2008","0.6816","0.6769","0.6911","0.6748","","0.69%"
"12/03/2008","0.6769","0.6708","0.6820","0.6695","","0.91%"
"12/02/2008","0.6708","0.6714","0.6767","0.6635","","-0.16%"
"12/01/2008","0.6719","0.6506","0.6755","0.6493","","3.39%"
"11/28/2008","0.6499","0.6489","0.6554","0.6471","","0.08%"
"11/27/2008","0.6494","0.6524","0.6532","0.6445","","-0.31%"
"11/26/2008","0.6514","0.6465","0.6590","0.6457","","0.76%"
"11/25/2008","0.6465","0.6591","0.6676","0.6436","","-2.00%"
"11/24/2008","0.6597","0.6699","0.6738","0.6587","","-1.73%"
"11/21/2008","0.6713","0.6791","0.6802","0.6638","","-1.13%"
"11/20/2008","0.6790","0.6686","0.6793","0.6667","","1.60%"
"11/19/2008","0.6683","0.6688","0.6710","0.6557","","-0.03%"
"11/18/2008","0.6685","0.6667","0.6713","0.6624","","0.27%"
"11/17/2008","0.6667","0.6825","0.6828","0.6628","","-1.62%"
"11/14/2008","0.6777","0.6736","0.6823","0.6684","","0.88%"
"11/13/2008","0.6718","0.6681","0.6870","0.6669","","0.19%"
"11/12/2008","0.6705","0.6499","0.6714","0.6458","","3.15%"
"11/11/2008","0.6500","0.6405","0.6511","0.6366","","1.50%"
"11/10/2008","0.6404","0.6321","0.6421","0.6294","","0.39%"
"11/07/2008","0.6379","0.6402","0.6437","0.6297","","-0.37%"
"11/06/2008","0.6403","0.6282","0.6404","0.6233","","1.99%"
"11/05/2008","0.6278","0.6266","0.6349","0.6172","","0.46%"
"11/04/2008","0.6249","0.6324","0.6411","0.6208","","-1.01%"
"11/03/2008","0.6313","0.6217","0.6337","0.6096","","1.45%"
"10/31/2008","0.6223","0.6111","0.6248","0.6088","","2.25%"
"10/30/2008","0.6086","0.6099","0.6168","0.5997","","-0.18%"
"10/29/2008","0.6097","0.6262","0.6273","0.6068","","-2.91%"
"10/28/2008","0.6280","0.6427","0.6493","0.6235","","-2.48%"
"10/27/2008","0.6440","0.6349","0.6545","0.6298","","2.56%"
"10/24/2008","0.6279","0.6128","0.6550","0.6127","","2.48%"
"10/23/2008","0.6127","0.6154","0.6233","0.6116","","-0.24%"
"10/22/2008","0.6142","0.5984","0.6192","0.5981","","2.52%"
"10/21/2008","0.5991","0.5828","0.6005","0.5813","","2.99%"
"10/20/2008","0.5817","0.5776","0.5847","0.5708","","0.55%"
"10/17/2008","0.5785","0.5774","0.5806","0.5751","","0.10%"
"10/16/2008","0.5779","0.5833","0.5836","0.5762","","-0.87%"
"10/15/2008","0.5830","0.5741","0.5830","0.5681","","1.51%"
"10/14/2008","0.5743","0.5744","0.5750","0.5672","","-0.19%"
"10/13/2008","0.5754","0.5842","0.5905","0.5732","","-1.93%"
"10/10/2008","0.5867","0.5853","0.5958","0.5820","","0.15%"
"10/09/2008","0.5858","0.5789","0.5860","0.5747","","1.19%"
