"Date","Price","Open","High","Low","Change %"
"12/15/2022","2.580","2.473","2.624","2.391","6.44%"
"12/14/2022","2.424","2.369","2.484","2.361","1.30%"
"12/13/2022","2.393","2.439","2.460","2.309","-0.87%"
"12/12/2022","2.414","2.403","2.424","2.341","0.92%"
"12/09/2022","2.392","2.291","2.421","2.289","4.77%"
"12/08/2022","2.283","2.247","2.312","2.225","1.87%"
"12/07/2022","2.241","2.212","2.305","2.193","-0.36%"
"12/06/2022","2.249","2.334","2.343","2.235","-3.27%"
"12/05/2022","2.325","2.330","2.354","2.272","1.17%"
"12/02/2022","2.298","2.266","2.339","2.217","1.41%"
"12/01/2022","2.266","2.313","2.359","2.257","-5.86%"
"11/30/2022","2.407","2.408","2.457","2.390","-5.36%"
"11/29/2022","2.543","2.553","2.600","2.507","-3.18%"
"11/28/2022","2.627","2.544","2.661","2.533","7.74%"
"11/25/2022","2.438","2.299","2.459","2.299","6.18%"
"11/24/2022","2.296","2.323","2.342","2.257","-3.65%"
"11/23/2022","2.383","2.472","2.510","2.353","-2.69%"
"11/22/2022","2.449","2.474","2.509","2.434","-0.45%"
"11/21/2022","2.460","2.476","2.530","2.420","-0.79%"
"11/19/2022","2.480","2.480","2.480","2.480","-0.38%"
"11/18/2022","2.489","2.480","2.581","2.459","-0.68%"
"11/17/2022","2.506","2.470","2.541","2.431","0.68%"
"11/16/2022","2.489","2.611","2.618","2.473","-4.53%"
"11/15/2022","2.607","2.651","2.678","2.547","-1.73%"
"11/14/2022","2.653","2.668","2.690","2.608","-0.60%"
"11/11/2022","2.669","2.528","2.680","2.516","6.63%"
"11/10/2022","2.503","2.671","2.720","2.476","-6.88%"
"11/09/2022","2.688","2.861","2.908","2.680","-3.86%"
"11/08/2022","2.796","2.861","2.908","2.763","-2.31%"
"11/07/2022","2.862","2.848","2.886","2.789","0.74%"
"11/04/2022","2.841","2.794","2.860","2.734","2.30%"
"11/03/2022","2.777","2.811","2.834","2.748","3.93%"
"11/02/2022","2.672","2.672","2.708","2.647","-0.04%"
"11/01/2022","2.673","2.655","2.698","2.558","-0.45%"
"10/31/2022","2.685","2.631","2.705","2.621","3.03%"
"10/28/2022","2.606","2.497","2.675","2.483","5.98%"
"10/27/2022","2.459","2.675","2.755","2.454","-7.97%"
"10/26/2022","2.672","2.716","2.753","2.644","-0.74%"
"10/25/2022","2.692","2.792","2.819","2.684","-6.10%"
"10/24/2022","2.867","2.880","2.992","2.835","-4.05%"
"10/21/2022","2.988","3.032","3.092","2.964","1.15%"
"10/20/2022","2.954","2.999","3.034","2.910","-0.03%"
"10/19/2022","2.955","2.879","2.959","2.867","3.58%"
"10/18/2022","2.853","2.833","2.950","2.793","0.07%"
"10/17/2022","2.851","2.896","2.913","2.806","-3.09%"
"10/14/2022","2.942","2.788","2.964","2.737","2.51%"
"10/13/2022","2.870","2.932","3.023","2.812","-2.84%"
"10/12/2022","2.954","2.911","3.029","2.883","2.25%"
"10/11/2022","2.889","2.897","2.972","2.865","-0.62%"
"10/10/2022","2.907","2.804","2.934","2.747","3.97%"
