Date,Price,Open,High,Low,Change %
04/12/2024,2.968,3.082,3.105,2.945,-3.61%
04/11/2024,3.079,3.029,3.103,2.964,0.36%
04/10/2024,3.068,3.029,3.076,2.964,2.71%
04/09/2024,2.987,3.029,3.034,2.982,-1.22%
04/08/2024,3.024,3.013,3.03,3.003,1.51%
04/05/2024,2.979,2.936,2.983,2.931,0.44%
04/04/2024,2.966,2.942,2.966,2.935,0.07%
04/03/2024,2.964,2.93,2.985,2.928,0.82%
04/02/2024,2.94,2.972,2.974,2.924,0.24%
04/01/2024,2.933,2.943,2.933,2.932,0.03%
03/29/2024,2.932,2.943,2.932,2.931,-0.31%
03/28/2024,2.941,2.943,2.968,2.932,0.79%
03/27/2024,2.918,2.953,2.953,2.916,-1.49%
03/26/2024,2.962,2.963,2.973,2.944,-0.57%
03/25/2024,2.979,2.906,2.989,2.904,2.23%
03/22/2024,2.914,2.949,2.951,2.908,-1.19%
03/21/2024,2.949,2.957,2.974,2.921,-1.63%
03/20/2024,2.998,2.969,3.001,2.957,0.30%
03/19/2024,2.989,3.018,3.02,2.967,-1.12%
03/18/2024,3.023,3.014,3.028,3.005,0.27%
03/15/2024,3.015,3,3.022,2.995,1.24%
03/14/2024,2.978,2.965,2.992,2.935,1.12%
03/13/2024,2.945,2.896,2.953,2.892,0.96%
03/12/2024,2.917,2.876,2.929,2.87,1.39%
03/11/2024,2.877,2.845,2.891,2.829,1.41%
03/08/2024,2.837,2.881,2.888,2.805,-2.17%
03/07/2024,2.9,2.95,2.95,2.851,-1.53%
03/06/2024,2.945,2.952,2.968,2.927,0.07%
03/05/2024,2.943,2.989,2.999,2.918,-1.80%
03/04/2024,2.997,2.986,3.003,2.953,0.40%
03/01/2024,2.985,3.005,3.03,2.957,0.51%
02/29/2024,2.97,2.996,3.072,2.969,-0.97%
02/28/2024,2.999,3.011,3.02,2.974,-0.63%
02/27/2024,3.018,3.016,3.022,2.968,0.50%
02/26/2024,3.003,2.963,3.009,2.944,2.42%
02/23/2024,2.932,3.017,3.038,2.932,-1.84%
02/22/2024,2.987,2.96,3.007,2.947,1.32%
02/21/2024,2.948,2.879,2.95,2.863,2.93%
02/20/2024,2.864,2.895,2.903,2.848,-1.58%
02/19/2024,2.91,2.914,2.918,2.885,-0.34%
02/16/2024,2.92,2.895,2.938,2.873,1.85%
02/15/2024,2.867,2.838,2.867,2.812,0.31%
02/14/2024,2.858,2.857,2.885,2.839,-4.79%
02/13/2024,3.002,2.97,3.038,2.897,2.61%
02/12/2024,2.925,2.924,2.936,2.912,-0.90%
02/09/2024,2.952,2.912,2.975,2.873,2.32%
02/08/2024,2.885,2.86,2.91,2.822,0.93%
02/07/2024,2.858,2.8,2.867,2.79,1.43%
02/06/2024,2.818,2.839,2.868,2.787,-0.68%
02/05/2024,2.837,2.78,2.862,2.773,2.15%
02/02/2024,2.778,2.687,2.818,2.684,3.89%
02/01/2024,2.674,2.697,2.73,2.622,0.61%
01/31/2024,2.658,2.74,2.75,2.603,-3.81%
01/30/2024,2.763,2.67,2.782,2.659,3.25%
01/29/2024,2.676,2.72,2.747,2.652,-2.78%
