Date,Price,Open,High,Low,Change %
04/12/2024,3.234,3.298,3.301,3.187,-2.41%
04/11/2024,3.314,3.304,3.344,3.264,1.19%
04/10/2024,3.275,3.22,3.292,3.205,1.55%
04/09/2024,3.225,3.281,3.295,3.217,-2.21%
04/08/2024,3.298,3.338,3.34,3.29,-0.06%
04/05/2024,3.3,3.249,3.305,3.24,1.41%
04/04/2024,3.254,3.28,3.296,3.233,-1.45%
04/03/2024,3.302,3.302,3.339,3.274,-0.45%
04/02/2024,3.317,3.274,3.333,3.234,3.98%
04/01/2024,3.19,3.177,3.19,3.189,0.16%
03/29/2024,3.185,3.177,3.185,3.185,-0.03%
03/28/2024,3.186,3.177,3.217,3.172,0.63%
03/27/2024,3.166,3.189,3.206,3.161,-1.28%
03/26/2024,3.207,3.202,3.218,3.179,-0.31%
03/25/2024,3.217,3.172,3.224,3.17,1.45%
03/22/2024,3.171,3.213,3.222,3.166,-1.55%
03/21/2024,3.221,3.238,3.259,3.203,-0.74%
03/20/2024,3.245,3.235,3.246,3.214,-0.55%
03/19/2024,3.263,3.25,3.264,3.23,0.37%
03/18/2024,3.251,3.233,3.269,3.233,0.40%
03/15/2024,3.238,3.254,3.269,3.222,-0.15%
03/14/2024,3.243,3.209,3.249,3.16,2.01%
03/13/2024,3.179,3.118,3.196,3.118,0.76%
03/12/2024,3.155,3.146,3.17,3.107,0.29%
03/11/2024,3.146,3.11,3.164,3.085,0.96%
03/08/2024,3.116,3.111,3.13,3.081,-0.19%
03/07/2024,3.122,3.181,3.182,3.073,-1.36%
03/06/2024,3.165,3.174,3.201,3.154,-0.06%
03/05/2024,3.167,3.223,3.228,3.136,-2.55%
03/04/2024,3.25,3.279,3.286,3.237,-1.01%
03/01/2024,3.283,3.285,3.327,3.252,1.14%
02/29/2024,3.246,3.29,3.344,3.24,-1.70%
02/28/2024,3.302,3.319,3.325,3.291,-0.51%
02/27/2024,3.319,3.281,3.319,3.253,1.25%
02/26/2024,3.278,3.229,3.28,3.223,2.50%
02/23/2024,3.198,3.269,3.296,3.197,-2.17%
02/22/2024,3.269,3.32,3.358,3.241,-1.36%
02/21/2024,3.314,3.273,3.318,3.241,2.00%
02/20/2024,3.249,3.276,3.28,3.236,-1.10%
02/19/2024,3.285,3.257,3.292,3.257,0.80%
02/16/2024,3.259,3.264,3.295,3.252,0.59%
02/15/2024,3.24,3.199,3.24,3.179,0.28%
02/14/2024,3.231,3.287,3.289,3.225,-1.76%
02/13/2024,3.289,3.304,3.317,3.244,-0.09%
02/12/2024,3.292,3.299,3.302,3.29,-0.90%
02/09/2024,3.322,3.323,3.338,3.262,0.39%
02/08/2024,3.309,3.29,3.317,3.251,0.91%
02/07/2024,3.279,3.234,3.279,3.227,0.86%
02/06/2024,3.251,3.25,3.283,3.227,-0.12%
02/05/2024,3.255,3.197,3.269,3.196,2.46%
02/02/2024,3.177,3.131,3.185,3.098,2.45%
02/01/2024,3.101,3.171,3.187,3.085,-0.67%
01/31/2024,3.122,3.167,3.185,3.112,-2.86%
01/30/2024,3.214,3.139,3.239,3.136,1.13%
01/29/2024,3.178,3.198,3.214,3.17,-1.61%
01/26/2024,3.23,3.17,3.251,3.167,0.34%
01/25/2024,3.219,3.266,3.288,3.203,-1.20%
01/24/2024,3.258,3.239,3.258,3.202,-0.18%
01/23/2024,3.264,3.215,3.268,3.209,2.16%
01/22/2024,3.195,3.193,3.214,3.17,-1.08%
01/19/2024,3.23,3.241,3.253,3.203,-0.86%
01/18/2024,3.258,3.22,3.26,3.208,1.21%
01/17/2024,3.219,3.228,3.238,3.171,1.07%
01/16/2024,3.185,3.174,3.193,3.136,0.41%
01/15/2024,3.172,3.143,3.19,3.136,1.60%
01/12/2024,3.122,3.108,3.155,3.083,-1.42%
01/11/2024,3.167,3.147,3.179,3.103,-0.09%
01/10/2024,3.17,3.149,3.175,3.111,0.54%
01/09/2024,3.153,3.135,3.177,3.12,1.78%
01/08/2024,3.098,3.141,3.183,3.077,-0.29%
01/05/2024,3.107,3.099,3.182,3.08,0.81%
01/04/2024,3.082,2.963,3.121,2.958,2.84%
01/03/2024,2.997,3.054,3.073,2.989,-1.02%
01/02/2024,3.028,3.048,3.079,3,1.88%
01/01/2024,2.972,2.895,2.972,2.972,-0.40%
12/29/2023,2.984,2.895,2.996,2.872,3.25%
12/28/2023,2.89,2.835,2.909,2.823,2.26%
12/27/2023,2.826,2.883,2.89,2.815,-2.35%
12/26/2023,2.894,2.898,2.894,2.894,0.14%
12/25/2023,2.89,2.898,2.89,2.889,-0.28%
12/22/2023,2.898,2.898,2.903,2.862,0.94%
12/21/2023,2.871,2.871,2.905,2.837,0.17%
12/20/2023,2.866,2.891,2.913,2.855,-1.71%
12/19/2023,2.916,2.967,2.975,2.909,-3.06%
12/18/2023,3.008,2.978,3.022,2.935,1.79%
12/15/2023,2.955,3.087,3.088,2.938,-3.24%
12/14/2023,3.054,3.022,3.1,2.976,-1.67%
12/13/2023,3.106,3.143,3.147,3.095,-1.74%
12/12/2023,3.161,3.17,3.187,3.13,-1.80%
12/11/2023,3.219,3.214,3.23,3.195,-0.06%
12/08/2023,3.221,3.151,3.25,3.142,2.84%
12/07/2023,3.132,3.161,3.174,3.09,-0.19%
12/06/2023,3.138,3.216,3.25,3.132,-1.97%
12/05/2023,3.201,3.289,3.32,3.193,-4.56%
12/04/2023,3.354,3.375,3.397,3.31,-0.95%
12/01/2023,3.386,3.457,3.468,3.369,-2.20%
11/30/2023,3.462,3.423,3.504,3.404,0.76%
11/29/2023,3.436,3.433,3.477,3.411,-1.74%
11/28/2023,3.497,3.505,3.561,3.481,-0.77%
11/27/2023,3.524,3.579,3.605,3.511,-1.87%
11/24/2023,3.591,3.594,3.626,3.57,0.36%
11/23/2023,3.578,3.521,3.586,3.518,1.76%
11/22/2023,3.516,3.572,3.575,3.479,-0.76%
11/21/2023,3.543,3.535,3.573,3.514,-1.28%
11/20/2023,3.589,3.597,3.614,3.556,0.11%
11/17/2023,3.585,3.563,3.593,3.503,0.06%
11/16/2023,3.583,3.601,3.622,3.549,-1.43%
11/15/2023,3.635,3.58,3.64,3.538,1.59%
11/14/2023,3.578,3.697,3.71,3.572,-3.32%
11/13/2023,3.701,3.724,3.749,3.674,-0.64%
11/10/2023,3.725,3.728,3.769,3.693,1.44%
11/09/2023,3.672,3.625,3.682,3.608,1.38%
11/08/2023,3.622,3.686,3.7,3.608,-1.82%
11/07/2023,3.689,3.803,3.817,3.681,-2.56%
11/06/2023,3.786,3.718,3.793,3.712,2.88%
11/03/2023,3.68,3.767,3.782,3.671,-2.31%
11/02/2023,3.767,3.806,3.85,3.731,-2.16%
11/01/2023,3.85,3.924,3.946,3.824,-1.03%
10/31/2023,3.89,3.86,3.899,3.823,-0.15%
10/30/2023,3.896,3.862,3.938,3.846,-0.38%
10/27/2023,3.911,3.925,3.938,3.893,-0.31%
10/26/2023,3.923,3.992,4,3.895,-0.68%
10/25/2023,3.95,3.854,3.963,3.849,1.86%
10/24/2023,3.878,3.863,3.891,3.797,-0.44%
10/23/2023,3.895,3.95,4.01,3.874,-1.02%
10/20/2023,3.935,3.955,3.977,3.908,0.13%
10/19/2023,3.93,3.973,3.988,3.907,-0.51%
10/18/2023,3.95,3.911,3.967,3.876,1.33%
10/17/2023,3.898,3.864,3.924,3.806,2.10%
10/16/2023,3.818,3.796,3.841,3.785,1.27%
10/13/2023,3.77,3.793,3.806,3.715,-0.42%
10/12/2023,3.786,3.675,3.796,3.666,1.94%
10/11/2023,3.714,3.811,3.826,3.702,-2.44%
10/10/2023,3.807,3.826,3.888,3.796,-0.52%
10/09/2023,3.827,3.903,3.943,3.818,-2.82%
10/06/2023,3.938,3.946,4.012,3.923,0.31%
10/05/2023,3.926,3.936,4.003,3.911,-0.36%
10/04/2023,3.94,4.036,4.058,3.934,-1.10%
10/03/2023,3.984,3.901,3.989,3.888,1.68%
10/02/2023,3.918,3.862,3.922,3.831,1.95%
09/29/2023,3.843,3.884,3.885,3.79,-1.89%
09/28/2023,3.917,3.833,3.97,3.825,2.49%
09/27/2023,3.822,3.786,3.828,3.743,1.06%
09/26/2023,3.782,3.769,3.789,3.732,0.59%
09/25/2023,3.76,3.695,3.773,3.681,2.54%
09/22/2023,3.667,3.635,3.702,3.593,0.63%
09/21/2023,3.644,3.669,3.683,3.624,0.77%
09/20/2023,3.616,3.646,3.663,3.608,-0.85%
09/19/2023,3.647,3.634,3.667,3.609,0.30%
09/18/2023,3.636,3.634,3.651,3.599,0.80%
09/15/2023,3.607,3.524,3.614,3.514,2.94%
09/14/2023,3.504,3.547,3.568,3.464,-1.63%
09/13/2023,3.562,3.577,3.61,3.548,-0.22%
09/12/2023,3.57,3.566,3.574,3.524,0.28%
09/11/2023,3.56,3.55,3.575,3.527,0.99%
09/08/2023,3.525,3.485,3.545,3.481,-0.14%
09/07/2023,3.53,3.555,3.577,3.518,-0.87%
09/06/2023,3.561,3.538,3.582,3.51,0.45%
09/05/2023,3.545,3.511,3.549,3.488,1.34%
09/04/2023,3.498,3.491,3.513,3.467,0.58%
09/01/2023,3.478,3.4,3.482,3.373,2.87%
08/31/2023,3.381,3.467,3.485,3.37,-2.00%
08/30/2023,3.45,3.465,3.496,3.425,0.97%
08/29/2023,3.417,3.44,3.489,3.401,-1.44%
08/28/2023,3.467,3.454,3.504,3.433,0.35%
08/25/2023,3.455,3.448,3.486,3.42,0.99%
08/24/2023,3.421,3.387,3.447,3.347,-0.15%
08/23/2023,3.426,3.521,3.53,3.42,-3.14%
08/22/2023,3.537,3.613,3.617,3.53,-2.18%
08/21/2023,3.616,3.575,3.627,3.534,2.06%
