Date,Price,Open,High,Low,Change %
04/12/2024,2.363,2.467,2.474,2.33,-4.79%
04/11/2024,2.482,2.466,2.499,2.431,0.53%
04/10/2024,2.469,2.39,2.469,2.352,3.65%
04/09/2024,2.382,2.436,2.444,2.376,-2.50%
04/08/2024,2.443,2.431,2.446,2.42,2.22%
04/05/2024,2.39,2.334,2.395,2.329,1.10%
04/04/2024,2.364,2.386,2.383,2.339,0.08%
04/03/2024,2.362,2.372,2.413,2.348,-0.55%
04/02/2024,2.375,2.376,2.415,2.332,2.37%
04/01/2024,2.32,2.318,2.32,2.32,0.13%
03/29/2024,2.317,2.318,2.317,2.315,0.09%
03/28/2024,2.315,2.318,2.353,2.309,0.09%
03/27/2024,2.313,2.377,2.377,2.31,-2.36%
03/26/2024,2.369,2.381,2.388,2.355,-0.96%
03/25/2024,2.392,2.324,2.393,2.323,2.66%
03/22/2024,2.33,2.411,2.411,2.325,-2.84%
03/21/2024,2.398,2.454,2.454,2.376,-2.00%
03/20/2024,2.447,2.459,2.46,2.411,-0.29%
03/19/2024,2.454,2.477,2.481,2.437,-0.93%
03/18/2024,2.477,2.449,2.489,2.449,0.49%
03/15/2024,2.465,2.454,2.478,2.451,0.94%
03/14/2024,2.442,2.395,2.454,2.382,2.43%
03/13/2024,2.384,2.355,2.392,2.329,1.23%
03/12/2024,2.355,2.322,2.369,2.301,1.82%
03/11/2024,2.313,2.276,2.332,2.262,1.58%
03/08/2024,2.277,2.323,2.331,2.243,-2.36%
03/07/2024,2.332,2.37,2.388,2.285,-1.73%
03/06/2024,2.373,2.363,2.399,2.352,0.55%
03/05/2024,2.36,2.42,2.424,2.336,-2.52%
03/04/2024,2.421,2.428,2.444,2.401,-0.29%
03/01/2024,2.428,2.432,2.486,2.405,0.21%
02/29/2024,2.423,2.465,2.531,2.422,-1.94%
02/28/2024,2.471,2.464,2.473,2.439,0.24%
02/27/2024,2.465,2.458,2.465,2.424,0.90%
02/26/2024,2.443,2.396,2.443,2.386,2.91%
02/23/2024,2.374,2.45,2.493,2.374,-2.70%
02/22/2024,2.44,2.43,2.484,2.412,0.99%
02/21/2024,2.416,2.359,2.416,2.341,3.03%
02/20/2024,2.345,2.386,2.389,2.332,-1.72%
02/19/2024,2.386,2.377,2.396,2.364,-0.08%
02/16/2024,2.388,2.333,2.409,2.333,2.58%
02/15/2024,2.328,2.302,2.328,2.262,0.65%
02/14/2024,2.313,2.362,2.362,2.309,-1.78%
02/13/2024,2.355,2.304,2.36,2.277,1.90%
02/12/2024,2.311,2.312,2.317,2.309,-0.90%
02/09/2024,2.332,2.286,2.344,2.272,2.01%
02/08/2024,2.286,2.246,2.29,2.222,2.74%
02/07/2024,2.225,2.213,2.233,2.19,0.23%
02/06/2024,2.22,2.237,2.257,2.202,-1.11%
02/05/2024,2.245,2.153,2.253,2.153,4.37%
02/02/2024,2.151,2.054,2.173,2.052,5.65%
02/01/2024,2.036,2.05,2.11,2.013,-0.24%
01/31/2024,2.041,2.166,2.168,2.034,-5.94%
01/30/2024,2.17,2.129,2.192,2.096,1.93%
01/29/2024,2.129,2.206,2.206,2.109,-2.96%
01/26/2024,2.194,2.144,2.209,2.127,0.55%
01/25/2024,2.182,2.262,2.285,2.175,-3.19%
01/24/2024,2.254,2.274,2.274,2.208,-0.40%
01/23/2024,2.263,2.229,2.266,2.222,1.43%
01/22/2024,2.231,2.291,2.291,2.213,-2.11%
01/19/2024,2.279,2.266,2.292,2.233,1.20%
01/18/2024,2.252,2.232,2.263,2.213,0.81%
01/17/2024,2.234,2.164,2.253,2.162,4.10%
01/16/2024,2.146,2.153,2.158,2.1,0.37%
01/15/2024,2.138,2.083,2.153,2.083,3.29%
01/12/2024,2.07,2.157,2.157,2.06,-4.12%
01/11/2024,2.159,2.171,2.186,2.115,-0.42%
01/10/2024,2.168,2.14,2.168,2.112,1.55%
01/09/2024,2.135,2.096,2.138,2.088,3.39%
01/08/2024,2.065,2.103,2.154,2.058,-1.20%
01/05/2024,2.09,2.082,2.157,2.059,2.45%
01/04/2024,2.04,1.945,2.066,1.889,5.43%
01/03/2024,1.935,2.001,2.028,1.931,-2.67%
01/02/2024,1.988,1.948,2.027,1.948,2.37%
