Date,Price,Open,High,Low,Change %
04/12/2024,3.456,3.545,3.536,3.454,-1.48%
04/11/2024,3.508,3.565,3.556,3.5,0.09%
04/10/2024,3.505,3.468,3.529,3.453,1.10%
04/09/2024,3.467,3.499,3.495,3.458,-0.80%
04/08/2024,3.495,3.473,3.504,3.442,1.30%
04/05/2024,3.45,3.451,3.463,3.43,0.12%
04/04/2024,3.446,3.493,3.482,3.426,0.20%
04/03/2024,3.439,3.442,3.462,3.415,0.58%
04/02/2024,3.419,3.464,3.452,3.412,-0.61%
04/01/2024,3.44,3.446,3.44,3.44,-0.26%
03/28/2024,3.449,3.446,3.457,3.414,0.38%
03/27/2024,3.436,3.525,3.525,3.419,-0.75%
03/26/2024,3.462,3.466,3.479,3.419,0.00%
03/25/2024,3.462,3.465,3.47,3.429,0.35%
03/22/2024,3.45,3.49,3.49,3.433,-0.17%
03/21/2024,3.456,3.537,3.537,3.451,-1.37%
03/20/2024,3.504,3.518,3.518,3.463,0.09%
03/19/2024,3.501,3.526,3.53,3.471,-0.51%
03/18/2024,3.519,3.526,3.541,3.482,0.06%
03/15/2024,3.517,3.504,3.519,3.472,0.66%
03/14/2024,3.494,3.527,3.527,3.455,0.11%
03/13/2024,3.49,3.478,3.496,3.443,0.20%
03/12/2024,3.483,3.468,3.49,3.436,0.46%
03/11/2024,3.467,3.467,3.469,3.427,0.78%
03/08/2024,3.44,3.491,3.491,3.414,-1.01%
03/07/2024,3.475,3.488,3.524,3.432,0.12%
03/06/2024,3.471,3.469,3.499,3.455,-0.43%
03/05/2024,3.486,3.53,3.53,3.458,-0.40%
03/04/2024,3.5,3.52,3.521,3.48,-0.14%
03/01/2024,3.505,3.502,3.524,3.472,0.57%
02/29/2024,3.485,3.526,3.545,3.474,-0.14%
02/28/2024,3.49,3.499,3.513,3.475,-0.23%
02/27/2024,3.498,3.514,3.53,3.478,-0.09%
02/26/2024,3.501,3.48,3.504,3.455,1.33%
02/23/2024,3.455,3.472,3.489,3.405,0.00%
02/22/2024,3.455,3.455,3.459,3.392,0.93%
02/21/2024,3.423,3.394,3.423,3.361,1.15%
02/20/2024,3.384,3.407,3.515,3.353,-0.76%
02/19/2024,3.41,3.436,3.436,3.366,-0.44%
02/16/2024,3.425,3.378,3.434,3.344,1.06%
02/15/2024,3.389,3.417,3.417,3.322,0.06%
02/14/2024,3.387,3.372,3.415,3.344,-0.41%
02/13/2024,3.401,3.353,3.401,3.289,1.46%
02/12/2024,3.352,3.312,3.354,3.312,-0.56%
02/09/2024,3.371,3.348,3.371,3.302,1.60%
02/08/2024,3.318,3.35,3.354,3.284,0.85%
02/07/2024,3.29,3.27,3.322,3.254,-0.72%
02/06/2024,3.314,3.333,3.333,3.25,-0.36%
02/05/2024,3.326,3.312,3.334,3.27,1.65%
02/02/2024,3.272,3.211,3.309,3.18,3.74%
02/01/2024,3.154,3.184,3.207,3.142,0.10%
01/31/2024,3.151,3.256,3.256,3.109,-3.22%
01/30/2024,3.256,3.233,3.26,3.188,1.02%
01/29/2024,3.223,3.268,3.268,3.177,-1.20%
01/26/2024,3.262,3.283,3.283,3.235,-0.28%
01/25/2024,3.271,3.374,3.374,3.25,-1.98%
01/24/2024,3.337,3.359,3.359,3.314,-0.18%
01/23/2024,3.343,3.361,3.361,3.323,-3.35%
01/22/2024,3.459,3.453,3.484,3.413,0.32%
01/19/2024,3.448,3.446,3.465,3.388,0.38%
01/18/2024,3.435,3.468,3.468,3.382,0.15%
01/17/2024,3.43,3.399,3.443,3.319,2.21%
01/16/2024,3.356,3.388,3.388,3.326,-0.39%
01/15/2024,3.369,3.32,3.38,3.293,2.34%
01/12/2024,3.292,3.307,3.369,3.28,-2.08%
01/11/2024,3.362,3.396,3.396,3.315,-0.12%
01/10/2024,3.366,3.332,3.366,3.297,1.32%
01/09/2024,3.322,3.299,3.339,3.277,1.16%
01/08/2024,3.284,3.286,3.339,3.271,-0.55%
01/05/2024,3.302,3.267,3.342,3.258,1.20%
01/04/2024,3.263,3.263,3.282,3.172,1.65%
01/03/2024,3.21,3.213,3.258,3.193,-0.19%
01/02/2024,3.216,3.204,3.239,3.149,1.74%
01/01/2024,3.161,3.175,3.161,3.16,-0.94%
12/29/2023,3.191,3.175,3.2,3.139,0.92%
12/28/2023,3.162,3.232,3.232,3.137,-0.25%
12/27/2023,3.17,3.199,3.203,3.148,-0.22%
12/26/2023,3.177,3.207,3.18,3.177,-0.09%
12/25/2023,3.18,3.207,3.18,3.18,-0.25%
12/22/2023,3.188,3.207,3.217,3.162,-0.22%
12/21/2023,3.195,3.25,3.25,3.173,-0.28%
12/20/2023,3.204,3.201,3.248,2.988,-1.11%
12/19/2023,3.24,3.246,3.268,3.223,-0.49%
12/18/2023,3.256,3.256,3.343,3.196,0.40%
12/15/2023,3.243,3.27,3.271,3.2,0.15%
12/14/2023,3.238,3.219,3.347,3.112,-2.35%
12/13/2023,3.316,3.347,3.419,3.298,-1.34%
12/12/2023,3.361,3.366,3.38,3.307,0.90%
12/11/2023,3.331,3.38,3.426,3.296,-1.16%
12/08/2023,3.37,3.312,3.389,3.293,2.18%
12/07/2023,3.298,3.356,3.369,3.272,-0.72%
12/06/2023,3.322,3.288,3.336,3.249,1.22%
12/05/2023,3.282,3.314,3.355,3.258,-1.68%
12/04/2023,3.338,3.288,3.381,3.288,1.34%
12/01/2023,3.294,3.453,3.453,3.257,-5.18%
11/30/2023,3.474,3.551,3.551,3.449,-1.17%
11/29/2023,3.515,3.566,3.566,3.493,-0.73%
11/28/2023,3.541,3.607,3.607,3.533,-1.39%
11/27/2023,3.591,3.603,3.616,3.573,-0.19%
11/24/2023,3.598,3.606,3.609,3.578,-0.08%
11/23/2023,3.601,3.637,3.637,3.567,-0.03%
11/22/2023,3.602,3.583,3.619,3.562,0.61%
11/21/2023,3.58,3.609,3.617,3.553,0.03%
11/20/2023,3.579,3.628,3.636,3.579,-0.87%
11/18/2023,3.611,3.611,3.611,3.611,-0.15%
11/17/2023,3.616,3.614,3.616,3.577,0.31%
11/16/2023,3.605,3.662,3.662,3.595,-0.72%
11/15/2023,3.631,3.627,3.639,3.608,-0.38%
11/14/2023,3.645,3.704,3.711,3.641,-1.30%
11/13/2023,3.693,3.697,3.715,3.677,0.30%
11/10/2023,3.682,3.692,3.7,3.662,0.44%
11/09/2023,3.666,3.709,3.711,3.666,-0.19%
11/08/2023,3.673,3.692,3.705,3.671,-0.35%
11/07/2023,3.686,3.696,3.714,3.665,-0.38%
11/06/2023,3.7,3.692,3.704,3.658,0.90%
11/03/2023,3.667,3.699,3.704,3.653,-0.46%
11/02/2023,3.684,3.658,3.708,3.641,0.35%
11/01/2023,3.671,3.68,3.686,3.663,-0.08%
10/31/2023,3.674,3.68,3.685,3.667,0.19%
10/30/2023,3.667,3.692,3.782,3.633,-0.03%
10/27/2023,3.668,3.71,3.71,3.668,-0.52%
10/26/2023,3.687,3.765,3.765,3.687,-0.75%
10/25/2023,3.715,3.711,3.738,3.711,-0.32%
10/24/2023,3.727,3.752,3.752,3.705,0.11%
10/23/2023,3.723,3.737,3.762,3.713,-0.37%
10/20/2023,3.737,3.758,3.772,3.704,-0.53%
10/19/2023,3.757,3.791,3.791,3.732,0.11%
10/18/2023,3.753,3.753,3.763,3.719,0.75%
10/17/2023,3.725,3.759,3.76,3.701,0.24%
10/16/2023,3.716,3.71,3.761,3.678,1.03%
10/13/2023,3.678,3.721,3.757,3.671,-0.86%
10/12/2023,3.71,3.719,3.767,3.668,0.62%
10/11/2023,3.687,3.668,3.743,3.641,0.90%
10/10/2023,3.654,3.649,3.675,3.624,0.33%
10/09/2023,3.642,3.672,3.683,3.624,-0.52%
10/06/2023,3.661,3.671,3.703,3.644,0.00%
10/05/2023,3.661,3.693,3.717,3.645,-0.71%
10/04/2023,3.687,3.709,3.725,3.65,-0.19%
10/03/2023,3.694,3.711,3.719,3.655,-0.59%
10/02/2023,3.716,3.705,3.722,3.671,0.90%
09/29/2023,3.683,3.736,3.736,3.68,-1.21%
09/28/2023,3.728,3.703,3.738,3.649,1.58%
09/27/2023,3.67,3.674,3.719,3.642,0.22%
09/26/2023,3.662,3.727,3.753,3.636,-1.93%
09/25/2023,3.734,3.746,3.766,3.715,-0.19%
09/22/2023,3.741,3.754,3.754,3.71,-0.11%
09/21/2023,3.745,3.773,3.799,3.723,0.03%
09/20/2023,3.744,3.757,3.772,3.721,-0.50%
09/19/2023,3.763,3.808,3.813,3.71,0.51%
09/18/2023,3.744,3.728,3.806,3.707,0.67%
09/15/2023,3.719,3.705,3.762,3.682,1.00%
09/14/2023,3.682,3.686,3.726,3.624,0.00%
09/13/2023,3.682,3.689,3.689,3.625,1.71%
09/12/2023,3.62,3.616,3.638,3.581,0.61%
09/11/2023,3.598,3.602,3.632,3.572,0.28%
09/08/2023,3.588,3.568,3.607,3.554,0.11%
09/07/2023,3.584,3.625,3.636,3.565,-0.17%
09/06/2023,3.59,3.581,3.643,3.552,0.98%
09/05/2023,3.555,3.632,3.657,3.543,0.06%
