"Date","Price","Open","High","Low","Change %"
"04/28/2022","0.982","0.906","1.009","0.874","7.70%"
"04/27/2022","0.912","0.914","0.935","0.874","3.64%"
"04/26/2022","0.880","0.956","0.966","0.874","-5.00%"
"04/25/2022","0.927","0.994","0.999","0.923","-7.27%"
"04/22/2022","0.999","1.002","1.019","0.958","1.94%"
"04/21/2022","0.980","0.964","1.002","0.937","4.99%"
"04/20/2022","0.933","1.012","1.033","0.919","-8.12%"
"04/19/2022","1.016","0.946","1.053","0.942","8.49%"
"04/18/2022","0.937","0.937","0.937","0.937","0.00%"
"04/15/2022","0.937","0.937","0.937","0.937","0.06%"
"04/14/2022","0.936","0.850","0.948","0.831","10.74%"
"04/13/2022","0.845","0.896","0.926","0.826","-1.35%"
"04/12/2022","0.857","0.876","0.913","0.825","-0.09%"
"04/11/2022","0.858","0.768","0.863","0.760","14.76%"
"04/08/2022","0.747","0.727","0.768","0.714","1.76%"
"04/07/2022","0.734","0.708","0.775","0.691","3.34%"
"04/06/2022","0.711","0.653","0.737","0.653","8.64%"
"04/05/2022","0.654","0.575","0.673","0.562","14.88%"
"04/04/2022","0.569","0.590","0.615","0.536","-5.84%"
"04/01/2022","0.605","0.584","0.663","0.584","3.16%"
"03/31/2022","0.586","0.665","0.680","0.555","-12.56%"
"03/30/2022","0.670","0.641","0.726","0.624","2.35%"
"03/29/2022","0.655","0.598","0.741","0.598","9.11%"
"03/28/2022","0.600","0.610","0.644","0.579","0.00%"
"03/27/2022","0.600","0.600","0.600","0.600","0.00%"
"03/26/2022","0.600","0.600","0.600","0.600","-0.83%"
"03/25/2022","0.605","0.574","0.632","0.541","6.14%"
"03/24/2022","0.570","0.534","0.616","0.517","4.63%"
"03/23/2022","0.545","0.572","0.602","0.536","-5.32%"
"03/22/2022","0.575","0.568","0.591","0.549","5.08%"
"03/21/2022","0.548","0.449","0.548","0.449","24.60%"
"03/20/2022","0.440","0.440","0.440","0.440","0.00%"
"03/19/2022","0.440","0.440","0.440","0.440","-2.12%"
"03/18/2022","0.449","0.453","0.486","0.428","-4.73%"
"03/17/2022","0.471","0.461","0.489","0.411","-0.19%"
"03/16/2022","0.472","0.455","0.486","0.441","13.24%"
"03/15/2022","0.417","0.447","0.447","0.390","-7.13%"
"03/14/2022","0.449","0.307","0.452","0.290","40.66%"
"03/11/2022","0.319","0.315","0.361","0.304","-0.65%"
"03/10/2022","0.321","0.272","0.359","0.230","20.79%"
"03/09/2022","0.266","0.175","0.290","0.155","52.09%"
"03/08/2022","0.175","0.032","0.211","0.007","308.64%"
"03/07/2022","0.043","-0.009","0.051","-0.048","-367.50%"
"03/04/2022","-0.016","0.101","0.127","-0.020","-112.61%"
"03/03/2022","0.127","0.136","0.179","0.124","-2.91%"
"03/02/2022","0.131","0.069","0.141","0.069","48.52%"
"03/01/2022","0.088","0.251","0.265","0.079","-67.08%"
"02/28/2022","0.267","0.272","0.331","0.261","-15.81%"
"02/25/2022","0.317","0.267","0.326","0.238","17.94%"
"02/24/2022","0.269","0.297","0.297","0.200","-9.15%"
"02/23/2022","0.296","0.322","0.343","0.288","-10.24%"
"02/22/2022","0.330","0.305","0.368","0.247","10.88%"
"02/21/2022","0.298","0.303","0.343","0.274","-3.28%"
"02/18/2022","0.308","0.325","0.344","0.299","-1.16%"
"02/17/2022","0.311","0.345","0.349","0.304","-8.92%"
"02/16/2022","0.342","0.357","0.386","0.327","-5.97%"
"02/15/2022","0.364","0.282","0.375","0.280","21.12%"
"02/14/2022","0.300","0.255","0.303","0.214","-3.81%"
"02/11/2022","0.312","0.288","0.314","0.253","3.96%"
"02/10/2022","0.300","0.241","0.304","0.232","26.40%"
"02/09/2022","0.237","0.252","0.265","0.218","-11.12%"
"02/08/2022","0.267","0.216","0.279","0.203","26.46%"
"02/07/2022","0.211","0.178","0.238","0.165","15.97%"
"02/04/2022","0.182","0.142","0.206","0.126","24.62%"
