Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y,40Y
24/09/1974,10.327,9.362,8.83,8.515,8.348,8.29,8.24,8.121,8.127,-,-,-,-,-,-
25/09/1974,10.333,9.364,8.831,8.516,8.348,8.29,8.24,8.121,8.127,-,-,-,-,-,-
26/09/1974,10.34,9.366,8.832,8.516,8.348,8.29,8.24,8.122,8.128,-,-,-,-,-,-
27/09/1974,10.347,9.367,8.833,8.517,8.349,8.29,8.24,8.122,8.128,-,-,-,-,-,-
28/09/1974,10.354,9.369,8.834,8.518,8.349,8.291,8.24,8.122,8.129,-,-,-,-,-,-
30/09/1974,10.368,9.373,8.836,8.519,8.35,8.291,8.24,8.122,8.13,-,-,-,-,-,-
01/10/1974,10.374,9.374,8.837,8.519,8.354,8.298,8.244,8.119,8.201,-,-,-,-,-,-
02/10/1974,10.381,9.376,8.838,8.52,8.354,8.298,8.244,8.119,8.202,-,-,-,-,-,-
03/10/1974,10.388,9.378,8.839,8.52,8.354,8.298,8.244,8.12,8.203,-,-,-,-,-,-
04/10/1974,10.395,9.379,8.84,8.521,8.355,8.298,8.244,8.12,8.204,-,-,-,-,-,-
05/10/1974,10.402,9.381,8.841,8.522,8.355,8.299,8.244,8.12,8.204,-,-,-,-,-,-
07/10/1974,10.416,9.385,8.843,8.523,8.356,8.299,8.244,8.12,8.206,-,-,-,-,-,-
08/10/1974,10.423,9.386,8.844,8.523,8.357,8.299,8.244,8.121,8.207,-,-,-,-,-,-
09/10/1974,10.43,9.388,8.845,8.524,8.357,8.3,8.244,8.121,8.208,-,-,-,-,-,-
11/10/1974,10.444,9.391,8.847,8.525,8.358,8.3,8.244,8.121,8.209,-,-,-,-,-,-
12/10/1974,10.451,9.393,8.847,8.526,8.359,8.3,8.244,8.122,8.21,-,-,-,-,-,-
14/10/1974,10.465,9.396,8.85,8.527,8.359,8.301,8.244,8.122,8.212,-,-,-,-,-,-
15/10/1974,10.472,9.398,8.851,8.528,8.36,8.301,8.244,8.122,8.212,-,-,-,-,-,-
16/10/1974,10.479,9.4,8.852,8.528,8.36,8.301,8.245,8.123,8.213,-,-,-,-,-,-
17/10/1974,10.487,9.401,8.853,8.529,8.361,8.301,8.245,8.123,8.214,-,-,-,-,-,-
18/10/1974,10.494,9.403,8.854,8.53,8.361,8.302,8.245,8.123,8.215,-,-,-,-,-,-
21/10/1974,10.515,9.408,8.857,8.531,8.362,8.302,8.245,8.124,8.217,-,-,-,-,-,-
22/10/1974,10.523,9.41,8.858,8.532,8.363,8.303,8.245,8.124,8.218,-,-,-,-,-,-
23/10/1974,10.53,9.411,8.859,8.533,8.363,8.303,8.245,8.124,8.219,-,-,-,-,-,-
24/10/1974,10.537,9.413,8.86,8.533,8.364,8.303,8.245,8.125,8.219,-,-,-,-,-,-
25/10/1974,10.545,9.415,8.861,8.534,8.364,8.303,8.245,8.125,8.22,-,-,-,-,-,-
26/10/1974,10.552,9.416,8.862,8.534,8.365,8.303,8.245,8.125,8.221,-,-,-,-,-,-
28/10/1974,10.567,9.419,8.864,8.536,8.366,8.304,8.245,8.126,8.223,-,-,-,-,-,-
29/10/1974,10.574,9.421,8.865,8.536,8.366,8.304,8.245,8.126,8.223,-,-,-,-,-,-
30/10/1974,10.582,9.423,8.866,8.537,8.366,8.304,8.245,8.127,8.224,-,-,-,-,-,-
31/10/1974,10.589,9.424,8.867,8.537,8.367,8.305,8.245,8.127,8.225,-,-,-,-,-,-
