date,dxy
1971-01-04,120.529999
1971-01-05,120.519997
1971-01-06,120.489998
1971-01-07,120.550003
1971-01-08,120.529999
1971-01-11,120.529999
1971-01-12,120.489998
1971-01-13,120.470001
1971-01-14,120.440002
1971-01-15,120.440002
1971-01-18,120.410004
1971-01-19,120.370003
1971-01-20,120.339996
1971-01-21,120.330002
1971-01-22,120.309998
1971-01-25,120.269997
1971-01-26,120.260002
1971-01-27,120.25
1971-01-28,120.25
1971-01-29,120.239998
1971-02-01,120.260002
1971-02-02,120.279999
1971-02-03,120.239998
1971-02-04,120.239998
1971-02-05,120.260002
1971-02-08,120.260002
1971-02-09,120.25
1971-02-10,120.279999
1971-02-11,120.290001
1971-02-16,120.220001
1971-02-17,120.209999
1971-02-18,120.209999
1971-02-19,120.18
1971-02-22,120.139999
1971-02-23,120.120003
1971-02-24,120.18
1971-02-25,120.199997
1971-02-26,120.260002
1971-03-01,120.25
1971-03-02,120.209999
1971-03-03,120.190002
1971-03-04,120.199997
1971-03-05,120.169998
1971-03-08,120.129997
1971-03-09,120.139999
1971-03-10,120.139999
1971-03-11,120.160004
1971-03-12,120.18
1971-03-15,120.190002
1971-03-16,120.190002
1971-03-17,120.160004
1971-03-18,120.18
1971-03-19,120.18
1971-03-22,120.18
1971-03-23,120.169998
1971-03-24,120.160004
1971-03-25,120.169998
1971-03-26,120.169998
1971-03-29,120.18
1971-03-30,120.18
1971-03-31,120.169998
1971-04-01,120.18
1971-04-02,120.18
1971-04-05,120.190002
1971-04-06,120.160004
1971-04-07,120.199997
1971-04-08,120.220001
1971-04-12,120.220001
1971-04-13,120.309998
1971-04-14,120.290001
1971-04-15,120.230003
1971-04-16,120.230003
1971-04-19,120.290001
1971-04-20,120.269997
1971-04-21,120.230003
1971-04-22,120.230003
1971-04-23,120.269997
1971-04-26,120.269997
1971-04-27,120.25
1971-04-28,120.18
1971-04-29,120.18
1971-04-30,120.190002
1971-05-03,120.169998
1971-05-04,120.160004
1971-05-05,119.650002
1971-05-06,119.620003
1971-05-07,119.440002
1971-05-10,119.120003
1971-05-11,119.559998
1971-05-12,119.459999
1971-05-13,119.269997
1971-05-14,119.339996
1971-05-17,119.330002
1971-05-18,119.309998
1971-05-19,119.199997
1971-05-20,118.989998
1971-05-21,118.910004
1971-05-24,118.980003
1971-05-25,119.260002
1971-05-26,119.330002
1971-05-27,119.349998
1971-05-28,119.43
1971-06-01,119.690002
1971-06-02,119.5
1971-06-03,119.32
1971-06-04,119.269997
1971-06-07,119.230003
1971-06-08,119.25
1971-06-09,119.190002
1971-06-10,119.239998
1971-06-11,119.239998
1971-06-14,119.290001
1971-06-15,119.339996
1971-06-16,119.309998
1971-06-17,119.32
1971-06-18,119.290001
1971-06-21,119.32
1971-06-22,119.279999
1971-06-23,119.160004
1971-06-24,119.190002
1971-06-25,119.209999
1971-06-28,119.25
1971-06-29,119.209999
1971-06-30,119.160004
1971-07-01,119.169998
1971-07-02,119.160004
1971-07-06,119.209999
1971-07-07,119.18
1971-07-08,119.18
1971-07-09,119.169998
1971-07-12,119.169998
1971-07-13,119.160004
1971-07-14,119.050003
1971-07-15,119.010002
1971-07-16,118.919998
1971-07-19,118.919998
1971-07-20,118.910004
1971-07-21,118.849998
1971-07-22,118.790001
1971-07-23,118.760002
1971-07-26,118.800003
1971-07-27,118.809998
1971-07-28,118.830002
1971-07-29,118.790001
1971-07-30,118.760002
1971-08-02,118.790001
1971-08-03,118.809998
1971-08-04,118.610001
1971-08-05,118.540001
1971-08-06,118.580002
1971-08-09,118.029999
1971-08-10,118.099998
1971-08-11,118.040001
1971-08-12,117.82
1971-08-13,117.839996
1971-08-16,117.839996
1971-08-17,117.839996
1971-08-18,117.839996
1971-08-19,117.839996
1971-08-20,117.839996
1971-08-23,117.839996
1971-08-24,117.839996
1971-08-25,117.839996
1971-08-26,117.839996
1971-08-27,117.839996
1971-08-30,117.839996
1971-08-31,116.470001
1971-09-01,116.580002
1971-09-02,116.349998
1971-09-03,116.379997
1971-09-07,116.419998
1971-09-08,116.419998
1971-09-09,116.389999
1971-09-10,116.32
1971-09-13,116.290001
1971-09-14,116.029999
1971-09-15,115.949997
1971-09-16,115.93
1971-09-17,115.910004
1971-09-20,115.519997
1971-09-21,115.559998
1971-09-22,115.419998
1971-09-23,115.029999
1971-09-24,114.959999
1971-09-27,115.029999
1971-09-28,115.059998
1971-09-29,114.93
1971-09-30,114.93
1971-10-01,114.809998
1971-10-04,114.839996
1971-10-05,114.830002
1971-10-06,114.739998
1971-10-07,114.709999
1971-10-08,114.699997
1971-10-12,114.660004
1971-10-13,114.760002
1971-10-14,114.879997
1971-10-15,114.82
1971-10-18,114.639999
