Date,Price,Open,High,Low,Vol.,Change %
2024-07-29,1.5276,1.526,1.5276,1.5225,,0.12%
2024-07-28,1.5258,1.5268,1.5269,1.5243,,-0.08%
2024-07-26,1.527,1.5294,1.5303,1.5222,,-0.14%
2024-07-25,1.5291,1.5195,1.5352,1.5191,,0.65%
2024-07-24,1.5193,1.5116,1.5204,1.511,,0.52%
2024-07-23,1.5115,1.5049,1.5128,1.5044,,0.43%
2024-07-22,1.5051,1.4944,1.508,1.4918,,0.60%
2024-07-19,1.4961,1.4912,1.497,1.4903,,0.34%
2024-07-18,1.491,1.4861,1.4932,1.4826,,0.39%
2024-07-17,1.4852,1.4851,1.488,1.4801,,0.03%
2024-07-16,1.4848,1.4793,1.4894,1.4781,,0.39%
2024-07-15,1.4791,1.4747,1.4812,1.4725,,0.36%
2024-07-12,1.4738,1.4793,1.4808,1.4717,,-0.36%
2024-07-11,1.4791,1.4819,1.4829,1.4706,,-0.19%
2024-07-10,1.4819,1.4835,1.4856,1.4808,,-0.11%
2024-07-09,1.4835,1.4844,1.4873,1.4817,,-0.04%
2024-07-08,1.4841,1.4815,1.4856,1.4787,,0.19%
2024-07-05,1.4813,1.4863,1.4899,1.4807,,-0.31%
2024-07-04,1.4859,1.4914,1.492,1.4854,,-0.37%
2024-07-03,1.4914,1.5001,1.5007,1.4848,,-0.55%
2024-07-02,1.4997,1.5015,1.5075,1.4988,,-0.09%
2024-07-01,1.5011,1.4997,1.5052,1.495,,0.11%
2024-06-28,1.4995,1.5045,1.5108,1.4957,,-0.30%
2024-06-27,1.504,1.5043,1.5063,1.4984,,0.01%
2024-06-26,1.5038,1.5045,1.5072,1.4948,,-0.04%
2024-06-25,1.5044,1.5027,1.5072,1.4984,,0.18%
2024-06-24,1.5017,1.5058,1.5093,1.4994,,-0.24%
2024-06-21,1.5053,1.5029,1.5081,1.4991,,0.21%
2024-06-20,1.5022,1.499,1.5043,1.4969,,0.24%
2024-06-19,1.4986,1.5024,1.5031,1.4973,,-0.24%
2024-06-18,1.5022,1.5131,1.5152,1.5017,,-0.64%
2024-06-17,1.5119,1.5116,1.5187,1.5092,,0.04%
2024-06-14,1.5113,1.5072,1.5172,1.5055,,0.31%
2024-06-13,1.5067,1.5008,1.5093,1.4978,,0.42%
2024-06-12,1.5004,1.5136,1.5159,1.4913,,-0.79%
2024-06-11,1.5124,1.5129,1.518,1.5118,,-0.01%
2024-06-10,1.5126,1.5182,1.5208,1.5122,,-0.41%
2024-06-07,1.5188,1.5001,1.5201,1.4965,,1.26%
2024-06-06,1.4999,1.504,1.5076,1.496,,-0.27%
2024-06-05,1.504,1.5046,1.5093,1.5001,,-0.05%
2024-06-04,1.5047,1.4949,1.5081,1.4926,,0.66%
2024-06-03,1.4948,1.5031,1.5079,1.4935,,-0.54%
2024-05-31,1.5029,1.5075,1.5092,1.4984,,-0.30%
2024-05-30,1.5074,1.5128,1.5175,1.5039,,-0.33%
2024-05-29,1.5124,1.5038,1.5132,1.5,,0.59%
2024-05-28,1.5035,1.5031,1.5056,1.4969,,0.06%
2024-05-27,1.5026,1.5094,1.5103,1.5014,,-0.36%
2024-05-24,1.5081,1.5136,1.5172,1.5065,,-0.36%
2024-05-23,1.5135,1.5107,1.5158,1.5029,,0.21%
2024-05-22,1.5103,1.5003,1.5135,1.4956,,0.69%
