Date,Price,Open,High,Low,Vol.,Change %,Spread
2024-07-29,1.5276,1.526,1.5276,1.5225,,0.12%,
2024-07-28,1.5258,1.5268,1.5269,1.5243,,-0.08%,0.0009879473279416873
2024-07-26,1.527,1.5294,1.5303,1.5222,,-0.14%,0.0006444131808911744
2024-07-25,1.5291,1.5195,1.5352,1.5191,,0.65%,0.003043004157299017
2024-07-24,1.5193,1.5116,1.5204,1.511,,0.52%,0.0
2024-07-23,1.5115,1.5049,1.5128,1.5044,,0.43%,0.0
2024-07-22,1.5051,1.4944,1.508,1.4918,,0.60%,0.0
2024-07-19,1.4961,1.4912,1.497,1.4903,,0.34%,0.0
2024-07-18,1.491,1.4861,1.4932,1.4826,,0.39%,0.0
2024-07-17,1.4852,1.4851,1.488,1.4801,,0.03%,0.00019676089315670022
2024-07-16,1.4848,1.4793,1.4894,1.4781,,0.39%,0.004046210749651883
2024-07-15,1.4791,1.4747,1.4812,1.4725,,0.36%,0.0
2024-07-12,1.4738,1.4793,1.4808,1.4717,,-0.36%,0.005050872948568614
2024-07-11,1.4791,1.4819,1.4829,1.4706,,-0.19%,0.0049079728095883035
2024-07-10,1.4819,1.4835,1.4856,1.4808,,-0.11%,0.0
2024-07-09,1.4835,1.4844,1.4873,1.4817,,-0.04%,0.0014252731124847731
2024-07-08,1.4841,1.4815,1.4856,1.4787,,0.19%,0.0004655961019207698
2024-07-05,1.4813,1.4863,1.4899,1.4807,,-0.31%,0.0004896318210628632
2024-07-04,1.4859,1.4914,1.492,1.4854,,-0.37%,3.53078033278385e-05
2024-07-03,1.4914,1.5001,1.5007,1.4848,,-0.55%,0.0021385198880025384
2024-07-02,1.4997,1.5015,1.5075,1.4988,,-0.09%,0.0
2024-07-01,1.5011,1.4997,1.5052,1.495,,0.11%,0.0014555793847527317
2024-06-28,1.4995,1.5045,1.5108,1.4957,,-0.30%,0.0039034311914514564
2024-06-27,1.504,1.5043,1.5063,1.4984,,0.01%,0.003121896219351042
2024-06-26,1.5038,1.5045,1.5072,1.4948,,-0.04%,0.0036975648358200403
2024-06-25,1.5044,1.5027,1.5072,1.4984,,0.18%,0.004502180669022207
2024-06-24,1.5017,1.5058,1.5093,1.4994,,-0.24%,0.0037683696427886905
2024-06-21,1.5053,1.5029,1.5081,1.4991,,0.21%,0.005105681636933441
