Date,Price,Open,High,Low,Vol.,Change %
2024-07-29,1.3834,1.383,1.3837,1.3816,,0.02%
2024-07-28,1.3831,1.3834,1.3839,1.3824,,-0.01%
2024-07-26,1.3833,1.3825,1.385,1.3806,,0.07%
2024-07-25,1.3824,1.3808,1.385,1.3796,,0.12%
2024-07-24,1.3807,1.3785,1.3817,1.3777,,0.19%
2024-07-23,1.3781,1.3755,1.3787,1.3751,,0.22%
2024-07-22,1.3751,1.3727,1.3776,1.3705,,0.14%
2024-07-19,1.3732,1.3706,1.3749,1.37,,0.20%
2024-07-18,1.3704,1.3683,1.372,1.367,,0.16%
2024-07-17,1.3682,1.3673,1.3703,1.3656,,0.08%
2024-07-16,1.3671,1.3684,1.3709,1.3665,,-0.08%
2024-07-15,1.3682,1.3633,1.369,1.363,,0.37%
2024-07-12,1.3631,1.3633,1.3641,1.361,,-0.01%
2024-07-11,1.3632,1.362,1.3649,1.3588,,0.10%
2024-07-10,1.3618,1.3636,1.3644,1.3607,,-0.12%
2024-07-09,1.3634,1.3639,1.3649,1.3627,,-0.01%
2024-07-08,1.3635,1.3641,1.3649,1.3623,,-0.03%
2024-07-05,1.3639,1.3613,1.3655,1.3601,,0.19%
2024-07-04,1.3613,1.3637,1.3643,1.3607,,-0.18%
2024-07-03,1.3638,1.3678,1.3688,1.3617,,-0.28%
2024-07-02,1.3676,1.3737,1.3757,1.3666,,-0.43%
2024-07-01,1.3735,1.3678,1.375,1.3662,,0.42%
2024-06-28,1.3677,1.3701,1.3736,1.3654,,-0.18%
2024-06-27,1.3701,1.3701,1.3714,1.3676,,0.01%
2024-06-26,1.37,1.3657,1.3709,1.3649,,0.33%
2024-06-25,1.3655,1.3657,1.3682,1.3629,,0.01%
2024-06-24,1.3654,1.3696,1.3709,1.3649,,-0.29%
2024-06-21,1.3694,1.3687,1.3719,1.3673,,0.05%
2024-06-20,1.3687,1.3707,1.3722,1.3681,,-0.13%
2024-06-19,1.3705,1.3718,1.3727,1.3697,,-0.09%
2024-06-18,1.3717,1.3724,1.3758,1.3708,,-0.04%
2024-06-17,1.3722,1.3736,1.3766,1.372,,-0.09%
2024-06-14,1.3735,1.3745,1.378,1.3727,,-0.05%
2024-06-13,1.3742,1.3723,1.3765,1.3714,,0.15%
2024-06-12,1.3722,1.3759,1.3762,1.3679,,-0.25%
2024-06-11,1.3757,1.3759,1.3793,1.3747,,-0.01%
2024-06-10,1.3758,1.3755,1.3783,1.3753,,-0.04%
2024-06-07,1.3764,1.367,1.3769,1.3662,,0.70%
2024-06-06,1.3668,1.3695,1.3711,1.3664,,-0.18%
2024-06-05,1.3692,1.3678,1.3743,1.3664,,0.10%
2024-06-04,1.3678,1.3628,1.37,1.362,,0.37%
2024-06-03,1.3627,1.3628,1.367,1.3602,,0.01%
2024-05-31,1.3626,1.3679,1.3691,1.3618,,-0.38%
2024-05-30,1.3678,1.3718,1.3736,1.3659,,-0.26%
2024-05-29,1.3714,1.3644,1.3721,1.3641,,0.51%
2024-05-28,1.3645,1.3637,1.3655,1.3614,,0.10%
2024-05-27,1.3632,1.3668,1.3673,1.3628,,-0.21%
2024-05-24,1.3661,1.3734,1.374,1.3647,,-0.50%
2024-05-23,1.3729,1.3694,1.3745,1.3656,,0.26%
2024-05-22,1.3693,1.3655,1.37,1.3623,,0.30%
2024-05-21,1.3652,1.3625,1.3677,1.3614,,0.22%
2024-05-20,1.3622,1.3612,1.3636,1.3595,,0.10%
2024-05-17,1.3609,1.3618,1.3645,1.36,,-0.07%
2024-05-16,1.3618,1.3602,1.3642,1.3589,,0.12%
2024-05-15,1.3601,1.3649,1.3662,1.3591,,-0.34%
2024-05-14,1.3647,1.3667,1.3692,1.3633,,-0.13%
2024-05-13,1.3665,1.3672,1.3691,1.3659,,-0.04%
2024-05-10,1.367,1.3677,1.3692,1.3634,,-0.06%
2024-05-09,1.3678,1.3729,1.3738,1.3672,,-0.30%
2024-05-08,1.372,1.3727,1.3764,1.3716,,-0.02%
2024-05-07,1.3723,1.3661,1.3743,1.3659,,0.38%
2024-05-06,1.3671,1.3693,1.3698,1.3648,,-0.09%
2024-05-03,1.3684,1.3672,1.3693,1.3609,,0.10%
2024-05-02,1.3671,1.3739,1.3743,1.3669,,-0.49%
2024-05-01,1.3738,1.3779,1.3785,1.3702,,-0.28%
2024-04-30,1.3777,1.3662,1.3785,1.3657,,0.86%
2024-04-29,1.3659,1.3671,1.3678,1.3631,,-0.07%
2024-04-26,1.3669,1.3654,1.3697,1.3635,,0.10%
2024-04-25,1.3655,1.3698,1.3732,1.3649,,-0.33%
2024-04-24,1.37,1.3664,1.373,1.3654,,0.29%
2024-04-23,1.3661,1.37,1.3715,1.3655,,-0.27%
2024-04-22,1.3698,1.3757,1.3757,1.3686,,-0.40%
2024-04-19,1.3753,1.3767,1.3806,1.3722,,-0.09%
2024-04-18,1.3765,1.3773,1.3783,1.3741,,-0.04%
2024-04-17,1.377,1.3829,1.3838,1.3758,,-0.42%
2024-04-16,1.3828,1.3788,1.3848,1.3773,,0.30%
2024-04-15,1.3786,1.3776,1.3795,1.3724,,0.10%
2024-04-12,1.3772,1.3689,1.3788,1.3681,,0.61%
2024-04-11,1.3689,1.3681,1.3727,1.3661,,0.10%
2024-04-10,1.3675,1.3572,1.3704,1.3555,,0.80%
2024-04-09,1.3567,1.3578,1.36,1.3547,,-0.03%
2024-04-08,1.3571,1.359,1.3618,1.3569,,-0.13%
2024-04-05,1.3588,1.3543,1.3649,1.354,,0.35%
2024-04-04,1.3541,1.3527,1.3561,1.3477,,0.11%
2024-04-03,1.3526,1.3568,1.359,1.3511,,-0.28%
2024-04-02,1.3564,1.3571,1.3585,1.3555,,-0.04%
2024-04-01,1.3569,1.3545,1.3588,1.3514,,0.24%
2024-03-29,1.3537,1.3541,1.3563,1.3531,,-0.01%
2024-03-28,1.3538,1.3568,1.3615,1.3524,,-0.21%
2024-03-27,1.3567,1.3585,1.3609,1.3564,,-0.11%
2024-03-26,1.3582,1.3586,1.3592,1.3551,,-0.01%
2024-03-25,1.3584,1.3599,1.3615,1.3569,,-0.16%
2024-03-22,1.3606,1.3532,1.3615,1.3518,,0.57%
2024-03-21,1.3529,1.3492,1.3543,1.3455,,0.29%
2024-03-20,1.349,1.3566,1.3606,1.3481,,-0.54%
2024-03-19,1.3563,1.3532,1.3615,1.353,,0.24%
2024-03-18,1.3531,1.354,1.3553,1.352,,-0.07%
2024-03-15,1.3541,1.3533,1.3553,1.3509,,0.07%
2024-03-14,1.3532,1.347,1.3542,1.3458,,0.47%
2024-03-13,1.3469,1.3493,1.35,1.3458,,-0.14%
2024-03-12,1.3488,1.3485,1.3527,1.3466,,0.04%
2024-03-11,1.3482,1.3479,1.3511,1.3469,,0.03%
2024-03-08,1.3478,1.3459,1.3499,1.3419,,0.16%
2024-03-07,1.3457,1.3519,1.3527,1.3453,,-0.41%
2024-03-06,1.3513,1.3592,1.3601,1.3498,,-0.56%
2024-03-05,1.3589,1.3573,1.3606,1.3555,,0.13%
2024-03-04,1.3571,1.3558,1.3585,1.3544,,0.10%
2024-03-01,1.3557,1.3573,1.3602,1.3544,,-0.13%
2024-02-29,1.3575,1.358,1.3599,1.354,,-0.01%
2024-02-28,1.3576,1.3528,1.3607,1.3523,,0.36%
2024-02-27,1.3527,1.3509,1.3541,1.3484,,0.15%
2024-02-26,1.3507,1.3503,1.353,1.3494,,0.01%
2024-02-23,1.3505,1.3482,1.3519,1.3461,,0.18%
2024-02-22,1.3481,1.3505,1.351,1.344,,-0.18%
2024-02-21,1.3505,1.3524,1.3537,1.3493,,-0.11%
2024-02-20,1.352,1.3491,1.3531,1.3471,,0.24%
2024-02-19,1.3488,1.3486,1.3498,1.3467,,0.03%
2024-02-16,1.3484,1.3466,1.3509,1.346,,0.16%
