Date,Price,Open,High,Low,Vol.,Change %,Spread
2024-07-29,0.8843,0.8845,0.8847,0.882,,-0.02%,
2024-07-28,0.8845,0.8839,0.8845,0.8828,,0.10%,0.0013400098263617946
2024-07-26,0.8836,0.8817,0.8845,0.8802,,0.24%,0.0008835796160806385
2024-07-25,0.8815,0.8851,0.8858,0.8776,,-0.41%,0.0028957841528424876
2024-07-24,0.8851,0.8913,0.8923,0.8828,,-0.66%,0.0
2024-07-23,0.891,0.8898,0.8925,0.8888,,0.17%,0.001336957820791552
2024-07-22,0.8895,0.8891,0.8903,0.887,,0.06%,0.0
2024-07-19,0.889,0.8873,0.89,0.8857,,0.17%,0.00222781269132417
2024-07-18,0.8875,0.8839,0.888,0.8819,,0.49%,0.0
2024-07-17,0.8832,0.8941,0.8947,0.8827,,-1.14%,0.0018128939157912446
2024-07-16,0.8934,0.8958,0.8979,0.8934,,-0.25%,0.0
2024-07-15,0.8956,0.8943,0.8973,0.8934,,0.18%,0.003923783026977948
2024-07-12,0.894,0.8965,0.8971,0.8932,,-0.26%,0.003816986479012689
2024-07-11,0.8963,0.8997,0.8999,0.8914,,-0.34%,0.0022990088734274597
2024-07-10,0.8994,0.8978,0.9002,0.8964,,0.19%,0.0013683379546292848
2024-07-09,0.8977,0.8977,0.8992,0.8968,,0.02%,0.0018674851450746837
2024-07-08,0.8975,0.8956,0.8979,0.8942,,0.17%,0.0
2024-07-05,0.896,0.9001,0.9006,0.8953,,-0.46%,0.0001728900616412615
2024-07-04,0.9001,0.9011,0.904,0.899,,-0.14%,0.0
2024-07-03,0.9014,0.9035,0.9051,0.8985,,-0.25%,0.004500482809279794
2024-07-02,0.9037,0.9028,0.9051,0.9025,,0.10%,0.0013159335449764008
2024-07-01,0.9028,0.8983,0.9046,0.8978,,0.46%,0.0
2024-06-28,0.8987,0.8987,0.901,0.8978,,0.02%,0.0019235618472368222
2024-06-27,0.8985,0.8971,0.899,0.8957,,0.14%,0.0
2024-06-26,0.8972,0.8947,0.8985,0.8943,,0.29%,0.001725010724585361
2024-06-25,0.8946,0.8931,0.8953,0.8913,,0.21%,0.0
2024-06-24,0.8927,0.8942,0.8946,0.8921,,-0.11%,0.0019375220086098996
2024-06-21,0.8937,0.8916,0.8946,0.8905,,0.29%,0.001895876001056388
2024-06-20,0.8911,0.8846,0.8927,0.8831,,0.78%,0.0
2024-06-19,0.8842,0.8846,0.8856,0.8832,,0.01%,0.0008096110062321762
2024-06-18,0.8841,0.8895,0.8903,0.8826,,-0.58%,0.0009995472715373674
2024-06-17,0.8893,0.8899,0.8934,0.8894,,-0.09%,0.0
2024-06-14,0.8901,0.8937,0.8949,0.8893,,-0.40%,0.003473928064434152
2024-06-13,0.8937,0.8943,0.8968,0.8931,,-0.04%,0.0
2024-06-12,0.8941,0.8973,0.8985,0.8893,,-0.37%,0.0019297649496564718
2024-06-11,0.8974,0.8965,0.8995,0.8957,,0.12%,0.0
2024-06-10,0.8963,0.8964,0.8984,0.8953,,0.04%,0.0018956028027123744
2024-06-07,0.8959,0.8896,0.8974,0.8881,,0.76%,0.0
2024-06-06,0.8891,0.8938,0.8942,0.8892,,-0.47%,0.0034118543168994596
2024-06-05,0.8933,0.8902,0.8949,0.8895,,0.40%,0.004492605311220328
2024-06-04,0.8897,0.8954,0.8973,0.8884,,-0.65%,0.004088705375846887
2024-06-03,0.8955,0.9032,0.9036,0.895,,-0.71%,0.0
2024-05-31,0.9019,0.9033,0.9071,0.9002,,-0.14%,0.0
2024-05-30,0.9032,0.9132,0.9143,0.9031,,-1.11%,0.0
2024-05-29,0.9133,0.9121,0.9144,0.9111,,0.10%,0.0009897214051217394
2024-05-28,0.9124,0.9138,0.9145,0.9085,,-0.14%,0.002239270432125217
2024-05-27,0.9137,0.9144,0.9154,0.9131,,-0.12%,0.0
2024-05-24,0.9148,0.9145,0.9161,0.9133,,0.05%,0.0016467551597971212
2024-05-23,0.9143,0.9156,0.9158,0.9125,,-0.14%,0.0019208013440237678
2024-05-22,0.9156,0.9111,0.916,0.9105,,0.49%,0.0024119009060683404
2024-05-21,0.9111,0.9106,0.9118,0.9086,,0.08%,0.0
2024-05-20,0.9104,0.9096,0.911,0.9079,,0.17%,0.0014737025597700158
2024-05-17,0.9089,0.9061,0.91,0.9054,,0.32%,0.0
2024-05-16,0.906,0.9022,0.9064,0.8988,,0.44%,0.0
2024-05-15,0.902,0.9067,0.9071,0.9014,,-0.49%,0.0032015696007794817
2024-05-14,0.9064,0.9082,0.9103,0.9054,,-0.19%,0.0
2024-05-13,0.9081,0.9064,0.9089,0.9044,,0.20%,0.0020040001544674568
2024-05-10,0.9063,0.906,0.9086,0.9054,,0.03%,0.002718860431411927
2024-05-09,0.906,0.908,0.91,0.9054,,-0.19%,0.002672951025035122
2024-05-08,0.9077,0.9084,0.9097,0.9072,,-0.06%,0.0016875031019252455
2024-05-07,0.9082,0.906,0.9095,0.9056,,0.23%,0.0014141546705383867
2024-05-06,0.9061,0.9058,0.9068,0.9035,,0.08%,0.0
2024-05-03,0.9054,0.9103,0.9109,0.9007,,-0.56%,0.0013893229606087713
2024-05-02,0.9105,0.916,0.9175,0.9097,,-0.54%,0.0
2024-05-01,0.9154,0.9194,0.9226,0.9145,,-0.42%,0.0
2024-04-30,0.9193,0.9106,0.9197,0.91,,0.99%,9.553496043478817e-05
2024-04-29,0.9103,0.9137,0.9152,0.9087,,-0.42%,0.001794801416881029
2024-04-26,0.9141,0.912,0.9151,0.9096,,0.23%,0.005329391370521925
2024-04-25,0.912,0.9151,0.9158,0.9116,,-0.32%,0.001902228494427152
2024-04-24,0.9149,0.9119,0.9154,0.9112,,0.35%,0.003540573641112756
2024-04-23,0.9117,0.9117,0.9131,0.9086,,-0.01%,0.0
2024-04-22,0.9118,0.9107,0.9125,0.9095,,0.20%,0.0024067986542970292
2024-04-19,0.91,0.9121,0.9133,0.9011,,-0.23%,0.0009592243907083667
2024-04-18,0.9121,0.9108,0.9126,0.9081,,0.16%,0.0021238063021259044
2024-04-17,0.9106,0.9129,0.9134,0.9093,,-0.23%,0.0020870607521222486
2024-04-16,0.9127,0.9117,0.9143,0.9111,,0.14%,0.0005311698135330698
2024-04-15,0.9114,0.9122,0.9153,0.9113,,-0.28%,0.0024407877538380435
2024-04-12,0.914,0.91,0.9148,0.9093,,0.46%,0.002115381479043683
2024-04-11,0.9098,0.9129,0.9147,0.9074,,-0.35%,0.004602383168906453
2024-04-10,0.913,0.9037,0.9148,0.9025,,1.05%,0.005296125971007073
2024-04-09,0.9035,0.9057,0.906,0.9011,,-0.21%,0.0
2024-04-08,0.9054,0.9019,0.9067,0.9008,,0.44%,0.004728552387541686
2024-04-05,0.9014,0.9013,0.9072,0.8997,,0.01%,0.00545485931587977
