Date,Price,Open,High,Low,Vol.,Change %
2024-07-29,"0,9218","0,9214","0,9218","0,9199",,"0,04%"
2024-07-28,"0,9214","0,9209","0,9214","0,9207",,"0,06%"
2024-07-26,"0,9208","0,9219","0,9224","0,9201",,"-0,11%"
2024-07-25,"0,9218","0,9225","0,9236","0,9199",,"-0,05%"
2024-07-24,"0,9223","0,9213","0,9237","0,9201",,"0,12%"
2024-07-23,"0,9212","0,9181","0,9222","0,9176",,"0,36%"
2024-07-22,"0,9179","0,9190","0,9198","0,9172",,"-0,12%"
2024-07-19,"0,9190","0,9178","0,9195","0,9172",,"0,13%"
2024-07-18,"0,9178","0,9143","0,9180","0,9140",,"0,42%"
2024-07-17,"0,9140","0,9175","0,9179","0,9133",,"-0,36%"
2024-07-16,"0,9173","0,9179","0,9199","0,9169",,"-0,07%"
2024-07-15,"0,9179","0,9184","0,9189","0,9155",,"0,13%"
2024-07-12,"0,9167","0,9201","0,9207","0,9164",,"-0,36%"
2024-07-11,"0,9200","0,9233","0,9237","0,9173",,"-0,36%"
2024-07-10,"0,9233","0,9247","0,9251","0,9233",,"-0,14%"
2024-07-09,"0,9246","0,9234","0,9255","0,9230",,"0,10%"
2024-07-08,"0,9237","0,9252","0,9258","0,9220",,"0,13%"
2024-07-05,"0,9225","0,9249","0,9252","0,9222",,"-0,26%"
2024-07-04,"0,9249","0,9270","0,9274","0,9247",,"-0,23%"
2024-07-03,"0,9270","0,9309","0,9315","0,9244",,"-0,38%"
2024-07-02,"0,9305","0,9310","0,9338","0,9304",,"-0,04%"
2024-07-01,"0,9309","0,9320","0,9329","0,9279",,"-0,24%"
2024-06-28,"0,9331","0,9343","0,9360","0,9323",,"-0,11%"
2024-06-27,"0,9341","0,9363","0,9366","0,9322",,"-0,22%"
2024-06-26,"0,9362","0,9334","0,9376","0,9330",,"0,32%"
2024-06-25,"0,9332","0,9316","0,9354","0,9307",,"0,17%"
2024-06-24,"0,9316","0,9356","0,9360","0,9305",,"-0,36%"
2024-06-21,"0,9350","0,9344","0,9372","0,9327",,"0,09%"
2024-06-20,"0,9342","0,9308","0,9344","0,9302",,"0,40%"
2024-06-19,"0,9305","0,9311","0,9325","0,9299",,"-0,04%"
2024-06-18,"0,9309","0,9316","0,9338","0,9291",,"-0,06%"
2024-06-17,"0,9315","0,9344","0,9358","0,9312",,"-0,29%"
2024-06-14,"0,9342","0,9313","0,9374","0,9306",,"0,32%"
2024-06-13,"0,9312","0,9251","0,9317","0,9245",,"0,67%"
2024-06-12,"0,9250","0,9309","0,9316","0,9214",,"-0,64%"
2024-06-11,"0,9310","0,9290","0,9329","0,9281",,"0,24%"
2024-06-10,"0,9288","0,9262","0,9318","0,9262",,"0,35%"
2024-06-07,"0,9256","0,9182","0,9260","0,9172",,"0,82%"
2024-06-06,"0,9181","0,9201","0,9207","0,9172",,"-0,20%"
2024-06-05,"0,9199","0,9191","0,9214","0,9180",,"0,11%"
2024-06-04,"0,9189","0,9172","0,9209","0,9161",,"0,22%"
2024-06-03,"0,9169","0,9215","0,9237","0,9169",,"-0,56%"
2024-05-31,"0,9221","0,9232","0,9251","0,9189",,"-0,10%"
2024-05-30,"0,9230","0,9258","0,9270","0,9220",,"-0,28%"
2024-05-29,"0,9256","0,9211","0,9259","0,9207",,"0,51%"
2024-05-28,"0,9209","0,9209","0,9214","0,9183",,"0,00%"
2024-05-27,"0,9209","0,9214","0,9225","0,9201",,"-0,09%"
2024-05-24,"0,9217","0,9247","0,9255","0,9209",,"-0,31%"
2024-05-23,"0,9246","0,9240","0,9255","0,9207",,"0,09%"
2024-05-22,"0,9238","0,9213","0,9245","0,9204",,"0,28%"
2024-05-21,"0,9212","0,9209","0,9223","0,9195",,"0,03%"
2024-05-20,"0,9209","0,9203","0,9214","0,9186",,"0,14%"
2024-05-17,"0,9196","0,9203","0,9229","0,9191",,"-0,06%"
2024-05-16,"0,9201","0,9184","0,9212","0,9178",,"0,19%"
2024-05-15,"0,9184","0,9248","0,9248","0,9182",,"-0,68%"
2024-05-14,"0,9247","0,9266","0,9283","0,9237",,"-0,22%"
2024-05-13,"0,9267","0,9282","0,9289","0,9253",,"-0,16%"
2024-05-10,"0,9282","0,9275","0,9294","0,9268",,"0,08%"
2024-05-09,"0,9275","0,9305","0,9324","0,9270",,"-0,29%"
2024-05-08,"0,9302","0,9299","0,9316","0,9295",,"0,00%"
2024-05-07,"0,9302","0,9287","0,9304","0,9269",,"0,19%"
2024-05-06,"0,9285","0,9292","0,9298","0,9266",,"-0,08%"
2024-05-03,"0,9292","0,9323","0,9326","0,9248",,"-0,31%"
2024-05-02,"0,9321","0,9336","0,9369","0,9319",,"-0,14%"
2024-05-01,"0,9334","0,9376","0,9391","0,9316",,"-0,43%"
2024-04-30,"0,9374","0,9325","0,9377","0,9315",,"0,51%"
2024-04-29,"0,9326","0,9350","0,9355","0,9316",,"-0,25%"
2024-04-26,"0,9349","0,9318","0,9369","0,9299",,"0,31%"
2024-04-25,"0,9320","0,9347","0,9365","0,9311",,"-0,27%"
2024-04-24,"0,9345","0,9345","0,9366","0,9333",,"0,02%"
2024-04-23,"0,9343","0,9385","0,9400","0,9335",,"-0,44%"
2024-04-22,"0,9384","0,9384","0,9413","0,9370",,"0,00%"
2024-04-19,"0,9384","0,9395","0,9425","0,9365",,"-0,11%"
2024-04-18,"0,9394","0,9370","0,9398","0,9354",,"0,28%"
2024-04-17,"0,9368","0,9416","0,9429","0,9363",,"-0,50%"
2024-04-16,"0,9415","0,9413","0,9434","0,9385",,"0,04%"
2024-04-15,"0,9411","0,9401","0,9416","0,9376",,"0,19%"
2024-04-12,"0,9393","0,9323","0,9414","0,9319",,"0,77%"
2024-04-11,"0,9321","0,9308","0,9347","0,9296",,"0,14%"
2024-04-10,"0,9308","0,9211","0,9321","0,9201",,"1,08%"
2024-04-09,"0,9209","0,9209","0,9219","0,9186",,"0,02%"
2024-04-08,"0,9207","0,9222","0,9242","0,9205",,"-0,21%"
2024-04-05,"0,9226","0,9229","0,9267","0,9218",,"0,00%"
2024-04-04,"0,9226","0,9231","0,9233","0,9194",,"-0,02%"
2024-04-03,"0,9228","0,9283","0,9291","0,9227",,"-0,60%"
2024-04-02,"0,9284","0,9308","0,9325","0,9277",,"-0,26%"
2024-04-01,"0,9308","0,9269","0,9319","0,9259",,"0,47%"
2024-03-29,"0,9264","0,9268","0,9288","0,9254",,"-0,03%"
2024-03-28,"0,9267","0,9236","0,9281","0,9235",,"0,36%"
2024-03-27,"0,9234","0,9233","0,9251","0,9226",,"0,04%"
2024-03-26,"0,9230","0,9227","0,9239","0,9204",,"0,04%"
2024-03-25,"0,9226","0,9252","0,9258","0,9222",,"-0,28%"
2024-03-22,"0,9252","0,9208","0,9258","0,9201",,"0,49%"
2024-03-21,"0,9207","0,9158","0,9212","0,9138",,"0,56%"
2024-03-20,"0,9156","0,9204","0,9229","0,9154",,"-0,50%"
2024-03-19,"0,9202","0,9197","0,9230","0,9194",,"0,08%"
2024-03-18,"0,9195","0,9180","0,9204","0,9169",,"0,14%"
2024-03-15,"0,9182","0,9189","0,9197","0,9174",,"-0,05%"
2024-03-14,"0,9187","0,9135","0,9191","0,9128",,"0,59%"
2024-03-13,"0,9133","0,9151","0,9158","0,9121",,"-0,20%"
2024-03-12,"0,9151","0,9154","0,9173","0,9137",,"-0,01%"
2024-03-11,"0,9152","0,9137","0,9162","0,9133",,"0,13%"
2024-03-08,"0,9140","0,9134","0,9158","0,9106",,"0,09%"
2024-03-07,"0,9132","0,9177","0,9201","0,9133",,"-0,45%"
2024-03-06,"0,9173","0,9209","0,9224","0,9161",,"-0,39%"
2024-03-05,"0,9209","0,9212","0,9225","0,9194",,"-0,01%"
