Date,1y Yield,2y Yield,5y Yield,10y Yield,20y Yield,30y Yield
1988-01-01,,,,9.978,,
1988-01-04,,,,9.944,,
1988-01-05,,,,9.862,,
1988-01-06,,,,9.862,,
1988-01-07,,,,9.933,,
1988-01-08,,,,9.924,,
1988-01-11,,,,10.02,,
1988-01-12,,,,9.976,,
1988-01-13,,,,10.061,,
1988-01-14,,,,10.052,,
1988-01-15,,,,9.902,,
1988-01-18,,,,9.864,,
1988-01-19,,,,9.865,,
1988-01-20,,,,9.856,,
1988-01-21,,,,9.791,,
1988-01-22,,,,9.686,,
1988-01-25,,,,9.596,,
1988-01-26,,,,9.601,,
1988-01-27,,,,9.537,,
1988-01-28,,,,9.43,,
1988-01-29,,,,9.333,,
1988-02-01,,,,9.197,,
1988-02-02,,,,9.164,,
1988-02-03,,,,9.077,,
1988-02-04,,,,9.165,,
1988-02-05,,,,9.092,,
1988-02-08,,,,9.139,,
1988-02-09,,,,9.102,,
1988-02-10,,,,9.09,,
1988-02-11,,,,9.106,,
1988-02-12,,,,9.051,,
1988-02-15,,,,9.16,,
1988-02-16,,,,9.168,,
1988-02-17,,,,9.131,,
1988-02-18,,,,9.224,,
1988-02-19,,,,9.133,,
1988-02-22,,,,9.15,,
1988-02-23,,,,9.133,,
1988-02-24,,,,9.104,,
1988-02-25,,,,9.128,,
1988-02-26,,,,9.108,,
1988-02-29,,,,9.067,,
1988-03-01,,,,9.008,,
1988-03-02,,,,8.99,,
1988-03-03,,,,8.999,,
1988-03-04,,,,9.065,,
1988-03-07,,,,9.098,,
1988-03-08,,,,9.153,,
1988-03-09,,,,9.144,,
1988-03-10,,,,9.298,,
1988-03-11,,,,9.311,,
1988-03-14,,,,9.362,,
1988-03-15,,,,9.31,,
1988-03-16,,,,9.324,,
1988-03-17,,,,9.321,,
1988-03-18,,,,9.247,,
1988-03-21,,,,9.401,,
1988-03-22,,,,9.406,,
1988-03-23,,,,9.417,,
1988-03-24,,,,9.446,,
1988-03-25,,,,9.369,,
1988-03-28,,,,9.341,,
1988-03-29,,,,9.358,,
1988-03-30,,,,9.309,,
1988-03-31,,,,9.333,,
1988-04-01,,,,9.409,,
1988-04-04,,,,9.409,,
1988-04-05,,,,9.434,,
1988-04-06,,,,9.378,,
1988-04-07,,,,9.278,,
1988-04-08,,,,9.071,,
1988-04-11,,,,9.081,,
1988-04-12,,,,9.192,,
1988-04-13,,,,9.116,,
1988-04-14,,,,9.093,,
1988-04-15,,,,9.176,,
1988-04-18,,,,9.244,,
1988-04-19,,,,9.203,,
1988-04-20,,,,9.206,,
1988-04-21,,,,9.107,,
1988-04-22,,,,9.088,,
1988-04-25,,,,9.153,,
1988-04-26,,,,9.114,,
1988-04-27,,,,9.098,,
1988-04-28,,,,9.168,,
1988-04-29,,,,9.285,,
1988-05-02,,,,9.323,,
1988-05-03,,,,9.378,,
1988-05-04,,,,9.396,,
1988-05-05,,,,9.461,,
1988-05-06,,,,9.434,,
1988-05-09,,,,9.449,,
1988-05-10,,,,9.357,,
1988-05-11,,,,9.242,,
1988-05-12,,,,9.242,,
1988-05-13,,,,9.28,,
1988-05-16,,,,9.22,,
1988-05-17,,,,9.18,,
1988-05-18,,,,9.264,,
1988-05-19,,,,9.264,,
1988-05-20,,,,9.211,,
1988-05-23,,,,9.211,,
1988-05-24,,,,9.163,,
1988-05-25,,,,9.101,,
1988-05-26,,,,9.069,,
1988-05-27,,,,9.117,,
1988-05-30,,,,9.022,,
1988-05-31,,,,9.068,,
1988-06-01,,,,9.006,,
1988-06-02,,,,9.084,,
1988-06-03,,,,9.127,,
1988-06-06,,,,9.083,,
1988-06-07,,,,9.067,,
1988-06-08,,,,9.041,,
1988-06-09,,,,9.041,,
1988-06-10,,,,9.001,,
1988-06-13,,,,9.009,,
