Date,1y Yield,2y Yield,5y Yield,10y Yield,20y Yield,30y Yield
2004-09-06,2.165,2.592,3.469,4.141,4.637,4.788
2004-09-07,2.154,2.602,3.474,4.141,4.634,4.774
2004-09-08,2.175,2.648,3.491,4.14,4.62,4.759
2004-09-09,2.176,2.612,3.458,4.119,4.599,4.732
2004-09-10,2.174,2.589,3.415,4.079,4.563,4.707
2004-09-13,2.172,2.565,3.391,4.063,4.563,4.699
2004-09-14,2.171,2.594,3.406,4.062,4.556,4.69
2004-09-15,2.169,2.565,3.384,4.049,4.547,4.681
2004-09-16,2.163,2.593,3.401,4.059,4.552,4.689
2004-09-17,2.141,2.563,3.379,4.037,4.543,4.695
2004-09-20,2.16,2.551,3.362,4.018,4.521,4.657
2004-09-21,2.158,2.549,3.347,4.005,4.511,4.645
2004-09-22,2.156,2.558,3.355,4.014,4.513,4.65
2004-09-23,2.15,2.583,3.368,3.958,4.453,4.586
2004-09-24,2.148,2.547,3.279,3.943,4.44,4.577
2004-09-27,2.167,2.583,3.309,3.962,4.455,4.588
2004-09-28,2.146,2.567,3.277,3.939,4.435,4.568
2004-09-29,2.164,2.589,3.302,3.954,4.452,4.584
2004-09-30,2.18,2.594,3.289,3.965,4.475,4.612
2004-10-01,2.178,2.552,3.308,3.99,4.5,4.637
2004-10-04,2.176,2.563,3.339,4.022,4.529,4.668
2004-10-05,2.174,2.6,3.363,4.027,4.528,4.665
2004-10-06,2.172,2.568,3.323,3.998,4.497,4.635
2004-10-07,2.166,2.579,3.323,3.996,4.491,4.629
2004-10-08,2.134,2.59,3.338,4.017,4.511,4.649
2004-10-11,2.139,2.489,3.207,3.923,4.445,4.589
2004-10-12,2.113,2.478,3.211,3.93,4.463,4.602
2004-10-13,2.134,2.473,3.218,3.916,4.442,4.585
2004-10-14,2.111,2.462,3.171,3.887,4.419,4.56
2004-10-15,2.111,2.44,3.181,3.88,4.415,4.556
2004-10-18,2.103,2.445,3.166,3.893,4.449,4.58
2004-10-19,2.145,2.424,3.175,3.886,4.428,4.573
2004-10-20,2.093,2.418,3.137,3.871,4.435,4.588
2004-10-21,2.135,2.391,3.148,3.867,4.415,4.56
2004-10-22,2.12,2.407,3.154,3.864,4.408,4.553
2004-10-25,2.113,2.412,3.116,3.838,4.396,4.544
2004-10-26,2.128,2.374,3.075,3.803,4.368,4.523
2004-10-27,2.151,2.383,3.081,3.807,4.396,4.555
2004-10-28,2.144,2.433,3.166,3.871,4.393,4.556
2004-10-29,2.168,2.456,3.166,3.86,4.418,4.571
2004-11-01,2.126,2.416,3.155,3.854,4.394,4.556
2004-11-02,2.11,2.416,3.141,3.86,4.411,4.566
2004-11-03,2.189,2.46,3.172,3.884,4.411,4.538
2004-11-04,2.154,2.432,3.171,3.882,4.396,4.548
2004-11-05,2.18,2.414,3.132,3.848,4.361,4.518
2004-11-08,2.177,2.486,3.217,3.909,4.419,4.574
2004-11-09,2.175,2.509,3.197,3.896,4.395,4.538
2004-11-10,2.173,2.443,3.137,3.848,4.352,4.497
2004-11-11,2.222,2.404,3.157,3.872,4.364,4.525
2004-11-12,2.192,2.392,3.095,3.819,4.326,4.478
2004-11-15,2.19,2.364,3.061,3.769,4.273,4.424
2004-11-16,2.188,2.408,3.079,3.768,4.279,4.428
2004-11-17,2.185,2.414,3.076,3.751,4.259,4.413
2004-11-18,2.178,2.402,3.076,3.757,4.266,4.417
2004-11-19,2.15,2.453,3.126,3.806,4.306,4.463
2004-11-22,2.426,2.447,3.102,3.779,4.278,4.429
