Date,1yr,2yr,5yr,10yr,20yr,30yr,In ECB 3dWindow,In ECB 5dWindow,In ECB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,ECB 10yr - 3dWindow Change,ECB 10yr - 5dWindow Change,ECB 10yr - 7dWindow Change,ECB 10yr - Outside 3dWindow Change,ECB 10yr - Outside 5dWindow Change,ECB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,US10y,US10y Change,Price,Open,High,Low,Vol.,Change %,Spread,country,gdp_per_cap,log_gpc,qrtly_chng_gpc,yearly_chng_gpc,log_qrtly_chng_gpc,log_yearly_chng_gpc,vix,dxy
1999-01-02,,,,3.863,,,False,False,False,0,False,False,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,27.67,
1999-01-03,,,,3.863,,,False,False,False,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,28.37,
1999-01-04,,3.071,3.268,3.748,4.304,4.648,False,False,False,0,False,False,-0.1149999999999997,0.0,0.0,0.0,-0.1149999999999997,-0.1149999999999997,-0.1149999999999997,0.0,0.0,0.0,-0.1149999999999997,-0.1149999999999997,-0.1149999999999997,5.0374,,"0,8455","0,8518",0.8552,0.8399,,"-0,83%",0.9267691688356301,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,22.06,93.440002
1999-01-05,,3.089,3.267,3.791,4.312,4.641,False,False,False,0,False,False,0.0429999999999997,0.0,0.0,0.0,0.0429999999999997,0.0429999999999997,0.0429999999999997,0.0,0.0,0.0,0.0429999999999997,0.0429999999999997,0.0429999999999997,5.0825,0.0450999999999996,"0,8501","0,8453",0.8532,0.8427,,"0,54%",0.0,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,,93.470001
1999-01-06,,3.051,3.284,3.768,4.278,4.581,False,False,False,0,False,False,-0.0230000000000001,0.0,0.0,0.0,-0.0230000000000001,-0.0230000000000001,-0.0230000000000001,0.0,0.0,0.0,-0.0230000000000001,-0.0230000000000001,-0.0230000000000001,5.024,-0.0584999999999995,"0,8608","0,8502",0.866,0.8465,,"1,26%",0.97330055891138,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,26.62,94.529999
1999-01-07,,3.02,3.283,3.711,4.31,4.601,False,False,False,0,False,False,-0.0569999999999999,0.0,0.0,0.0,-0.0569999999999999,-0.0569999999999999,-0.0569999999999999,0.0,0.0,0.0,-0.0569999999999999,-0.0569999999999999,-0.0569999999999999,5.1013,0.0773000000000001,"0,8541","0,8602",0.8619,0.8498,,"-0,78%",0.48790266411079003,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,19.69,93.720001
1999-01-08,,3.013,3.242,3.714,4.294,4.628,False,False,False,0,False,False,0.0030000000000001,0.0,0.0,0.0,0.0030000000000001,0.0030000000000001,0.0030000000000001,0.0,0.0,0.0,0.0030000000000001,0.0030000000000001,0.0030000000000001,5.1959,0.0945999999999998,"0,8639","0,8539",0.8675,0.8523,,"1,15%",0.0,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,,94.349998
1999-01-11,,3.044,3.276,3.724,4.387,4.646,False,False,False,0,False,False,0.0100000000000002,0.0,0.0,0.0,0.0100000000000002,0.0100000000000002,0.0100000000000002,0.0,0.0,0.0,0.0100000000000002,0.0100000000000002,0.0100000000000002,5.2399,0.0439999999999995,"0,8694","0,8647",0.8709,0.8615,,"0,64%",0.33231011668972,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,22.09,94.660004
1999-01-12,,2.982,3.294,3.805,4.298,4.688,False,False,False,0,False,False,0.0809999999999999,0.0,0.0,0.0,0.0809999999999999,0.0809999999999999,0.0809999999999999,0.0,0.0,0.0,0.0809999999999999,0.0809999999999999,0.0809999999999999,5.1781,-0.0617999999999998,"0,8641","0,8695",0.8744,0.8639,,"-0,61%",0.0,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,22.23,94.790001
1999-01-13,,2.905,3.281,3.672,4.266,4.638,False,False,False,0,False,False,-0.133,0.0,0.0,0.0,-0.133,-0.133,-0.133,0.0,0.0,0.0,-0.133,-0.133,-0.133,5.1172,-0.0608999999999992,"0,8567","0,8645",0.8665,0.8483,,"-0,86%",0.58022949900434,DEU,39480.3,10.583557092302742,-55.5,608.7000000000044,6.254789888055024,6.411325535499886,30.11,94.25
