Date,1yr,2yr,3yr,4yr,5yr,6yr,7yr,8yr,9yr,10yr,15yr,20yr,25yr,30yr,40yr,In BoJ 3dWindow,In BoJ 5dWindow,In BoJ 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,BoJ 10yr - 3dWindow Change,BoJ 10yr - 5dWindow Change,BoJ 10yr - 7dWindow Change,BoJ 10yr - Outside 3dWindow Change,BoJ 10yr - Outside 5dWindow Change,BoJ 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,Price,Open,High,Low,Vol.,Change %,Spread
1997-06-02,0.787,1.166,1.443,1.754,2.011,2.23,2.41,2.551,2.662,2.768,3.152,3.358,,,,False,False,False,False,False,False,,6.7002,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,116.65,116.09,116.85,115.83,,0.39%,0.0073971093855965
1997-06-03,0.813,1.195,1.476,1.771,2.027,2.256,2.443,2.576,2.675,2.777,3.158,3.366,,,,False,False,True,False,False,False,0.0090000000000003,6.6691,-0.0310999999999994,0.0,0.0,0.0090000000000003,0.0090000000000003,0.0090000000000003,0.0,0.0,0.0,0.0,0.0090000000000003,0.0090000000000003,0.0090000000000003,116.03,116.68,116.88,115.6,,-0.53%,0.0037180748499607
1997-06-04,0.777,1.16,1.429,1.725,1.98,2.206,2.389,2.528,2.634,2.739,3.108,3.325,,,,False,True,True,False,False,False,-0.0380000000000002,6.6557,-0.0133999999999998,0.0,-0.0380000000000002,-0.0380000000000002,-0.0380000000000002,0.0,0.0,0.0,0.0,0.0,-0.0380000000000002,-0.0380000000000002,-0.0380000000000002,116.4,116.0,116.55,115.85,,0.32%,0.0002475617484823
1997-06-05,0.787,1.17,1.445,1.735,1.99,2.215,2.405,2.53,2.629,2.73,3.088,3.313,,,,True,True,True,False,False,False,-0.0089999999999998,6.6475,-0.0082000000000004,-0.0089999999999998,-0.0089999999999998,-0.0089999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.0089999999999998,-0.0089999999999998,-0.0089999999999998,115.62,116.25,116.33,115.39,,-0.67%,0.0
1997-06-06,0.786,1.152,1.426,1.716,1.97,2.201,2.386,2.52,2.619,2.717,3.073,3.3,,,,True,True,True,False,False,False,-0.0129999999999999,6.5345,-0.1129999999999995,-0.0129999999999999,-0.0129999999999999,-0.0129999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.0129999999999999,-0.0129999999999999,-0.0129999999999999,114.25,115.45,116.07,114.2,,-1.18%,0.0
1997-06-09,0.761,1.106,1.361,1.654,1.911,2.153,2.338,2.483,2.591,2.691,3.043,3.276,,,,False,False,True,False,False,False,-0.0260000000000002,6.5876,0.0530999999999997,0.0,0.0,-0.0260000000000002,-0.0260000000000002,-0.0260000000000002,0.0,0.0,0.0,0.0,-0.0260000000000002,-0.0260000000000002,-0.0260000000000002,113.0,114.15,114.2,112.1,,-1.09%,0.001957217903114
1997-06-10,0.751,1.097,1.342,1.638,1.896,2.152,2.348,2.497,2.605,2.705,3.049,3.28,,,,False,False,False,False,False,False,0.0140000000000002,6.6098,0.0221999999999997,0.0,0.0,0.0,0.0140000000000002,0.0140000000000002,0.0140000000000002,0.0,0.0,0.0,0.0140000000000002,0.0140000000000002,0.0140000000000002,112.3,113.01,113.18,111.75,,-0.62%,0.0
1997-06-11,0.667,0.983,1.229,1.536,1.802,2.061,2.275,2.429,2.545,2.648,2.999,3.238,,,,False,False,False,False,False,False,-0.0569999999999999,6.6059,-0.0038999999999997,0.0,0.0,0.0,-0.0569999999999999,-0.0569999999999999,-0.0569999999999999,0.0,0.0,0.0,-0.0569999999999999,-0.0569999999999999,-0.0569999999999999,111.35,112.05,112.55,110.52,,-0.85%,0.0
1997-06-12,0.65,1.016,1.271,1.586,1.849,2.099,2.308,2.459,2.568,2.668,3.014,3.246,,,,False,False,False,False,False,False,0.02,6.5367,-0.0692000000000003,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,114.28,111.15,115.72,111.15,,2.63%,0.0021726822958625
1997-06-13,0.641,0.982,1.237,1.555,1.815,2.055,2.265,2.415,2.525,2.623,2.979,3.218,,,,False,False,False,False,False,False,-0.0449999999999999,6.4897,-0.0469999999999997,0.0,0.0,0.0,-0.0449999999999999,-0.0449999999999999,-0.0449999999999999,0.0,0.0,0.0,-0.0449999999999999,-0.0449999999999999,-0.0449999999999999,114.87,114.15,114.93,113.95,,0.52%,0.0043806917798952
1997-06-16,0.651,0.963,1.224,1.548,1.809,2.049,2.26,2.402,2.512,2.604,2.964,3.205,,,,False,False,False,False,False,False,-0.0190000000000001,6.4614,-0.0282999999999997,0.0,0.0,0.0,-0.0190000000000001,-0.0190000000000001,-0.0190000000000001,0.0,0.0,0.0,-0.0190000000000001,-0.0190000000000001,-0.0190000000000001,113.21,114.65,114.88,113.15,,-1.45%,0.0
1997-06-17,0.631,0.929,1.187,1.504,1.764,1.998,2.212,2.358,2.475,2.568,2.924,3.167,,,,False,False,False,False,False,False,-0.036,6.489,0.0275999999999996,0.0,0.0,0.0,-0.036,-0.036,-0.036,0.0,0.0,0.0,-0.036,-0.036,-0.036,113.25,113.18,113.84,112.8,,0.04%,0.0075196564987307
1997-06-18,0.63,0.949,1.214,1.533,1.798,2.039,2.251,2.397,2.512,2.605,2.954,3.187,,,,False,False,False,False,False,False,0.0369999999999999,6.4636,-0.0254000000000003,0.0,0.0,0.0,0.0369999999999999,0.0369999999999999,0.0369999999999999,0.0,0.0,0.0,0.0369999999999999,0.0369999999999999,0.0369999999999999,113.55,113.15,113.75,112.75,,0.26%,0.0009925886651039
1997-06-19,0.62,0.94,1.204,1.523,1.784,2.023,2.242,2.388,2.503,2.596,2.949,3.174,,,,False,False,False,False,False,False,-0.0089999999999998,6.4641,0.0005000000000006,0.0,0.0,0.0,-0.0089999999999998,-0.0089999999999998,-0.0089999999999998,0.0,0.0,0.0,-0.0089999999999998,-0.0089999999999998,-0.0089999999999998,114.22,113.6,114.32,113.05,,0.59%,0.0
1997-06-20,0.619,0.945,1.225,1.545,1.806,2.044,2.267,2.402,2.518,2.615,2.964,3.181,,,,False,False,False,False,False,False,0.0190000000000001,6.4315,-0.0326000000000004,0.0,0.0,0.0,0.0190000000000001,0.0190000000000001,0.0190000000000001,0.0,0.0,0.0,0.0190000000000001,0.0190000000000001,0.0190000000000001,114.95,114.1,115.05,114.03,,0.64%,0.0
1997-06-23,0.638,0.95,1.239,1.556,1.81,2.051,2.264,2.403,2.518,2.61,2.96,3.177,,,,False,False,False,False,False,False,-0.0050000000000003,6.4641,0.0326000000000004,0.0,0.0,0.0,-0.0050000000000003,-0.0050000000000003,-0.0050000000000003,0.0,0.0,0.0,-0.0050000000000003,-0.0050000000000003,-0.0050000000000003,114.78,115.22,115.72,114.6,,-0.15%,0.0
1997-06-24,0.608,0.911,1.194,1.505,1.758,2.002,2.209,2.351,2.471,2.569,2.925,3.143,,,,False,False,False,False,False,False,-0.0409999999999999,6.4701,0.0060000000000002,0.0,0.0,0.0,-0.0409999999999999,-0.0409999999999999,-0.0409999999999999,0.0,0.0,0.0,-0.0409999999999999,-0.0409999999999999,-0.0409999999999999,114.85,114.63,115.0,114.0,,0.06%,0.0030791531783764
1997-06-25,0.697,1.046,1.364,1.686,1.934,2.174,2.379,2.511,2.616,2.705,3.058,3.243,,,,False,False,False,False,False,False,0.1360000000000001,6.5122,0.0420999999999995,0.0,0.0,0.0,0.1360000000000001,0.1360000000000001,0.1360000000000001,0.0,0.0,0.0,0.1360000000000001,0.1360000000000001,0.1360000000000001,113.8,114.78,114.87,113.2,,-0.91%,0.0055321960859626
1997-06-26,0.687,1.031,1.349,1.67,1.914,2.153,2.354,2.488,2.593,2.683,3.043,3.231,,,,False,False,False,False,False,False,-0.0220000000000002,6.5607,0.0484999999999997,0.0,0.0,0.0,-0.0220000000000002,-0.0220000000000002,-0.0220000000000002,0.0,0.0,0.0,-0.0220000000000002,-0.0220000000000002,-0.0220000000000002,113.18,113.8,114.31,113.02,,-0.54%,0.0089796093031599
1997-06-27,0.626,0.949,1.256,1.566,1.805,2.042,2.245,2.386,2.494,2.589,2.952,3.156,,,,False,False,False,False,False,False,-0.0939999999999998,6.5604,-0.0003000000000001,0.0,0.0,0.0,-0.0939999999999998,-0.0939999999999998,-0.0939999999999998,0.0,0.0,0.0,-0.0939999999999998,-0.0939999999999998,-0.0939999999999998,114.6,113.2,114.76,113.0,,1.25%,0.0024405228748786
1997-06-30,0.634,0.939,1.234,1.552,1.798,2.044,2.252,2.391,2.495,2.589,2.948,3.152,,,,False,False,False,False,True,True,0.0,6.5733,0.0129000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.6,114.5,114.75,114.1,,0.00%,0.0
1997-07-01,0.623,0.919,1.201,1.515,1.763,2.014,2.223,2.361,2.461,2.585,2.923,3.139,,,,False,False,True,True,True,True,-0.004,6.5075,-0.0657999999999994,0.0,0.0,-0.004,-0.004,-0.004,0.0,-0.004,-0.004,-0.004,0.0,0.0,0.0,114.9,114.62,115.34,114.45,,0.26%,0.0002469688548373
1997-07-02,0.591,0.9,1.18,1.496,1.747,1.993,2.207,2.347,2.452,2.585,2.918,3.139,,,,False,True,True,True,True,True,0.0,6.4801,-0.0274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.45,114.93,115.0,114.05,,-0.39%,0.0
1997-07-03,0.589,0.879,1.149,1.464,1.721,1.963,2.178,2.319,2.427,2.567,2.897,3.123,,,,True,True,True,True,True,True,-0.0179999999999997,6.3691,-0.1109999999999997,-0.0179999999999997,-0.0179999999999997,-0.0179999999999997,0.0,0.0,0.0,-0.0179999999999997,-0.0179999999999997,-0.0179999999999997,0.0,0.0,0.0,113.63,114.52,114.68,113.28,,-0.72%,0.0075982038739841
1997-07-04,0.567,0.854,1.097,1.417,1.674,1.918,2.139,2.29,2.397,2.531,2.862,3.093,,,,True,True,True,False,True,True,-0.036,,,-0.036,-0.036,-0.036,0.0,0.0,0.0,0.0,-0.036,-0.036,-0.036,0.0,0.0,114.25,113.47,114.5,112.95,,0.55%,0.0038448966877874
1997-07-07,0.595,0.874,1.118,1.446,1.699,1.946,2.165,2.306,2.413,2.54,2.873,3.106,,,,False,False,True,False,False,False,0.0089999999999998,6.3262,,0.0,0.0,0.0089999999999998,0.0089999999999998,0.0089999999999998,0.0,0.0,0.0,0.0,0.0089999999999998,0.0089999999999998,0.0089999999999998,112.75,114.16,114.21,111.9,,-1.31%,0.0060819440902905
1997-07-08,0.594,0.879,1.127,1.458,1.718,1.967,2.181,2.321,2.431,2.558,2.889,3.115,,,,False,False,False,False,False,False,0.0179999999999997,6.3358,0.0095999999999998,0.0,0.0,0.0,0.0179999999999997,0.0179999999999997,0.0179999999999997,0.0,0.0,0.0,0.0179999999999997,0.0179999999999997,0.0179999999999997,113.28,112.49,113.46,112.28,,0.47%,0.0082697880892151
1997-07-09,0.562,0.865,1.12,1.445,1.706,1.956,2.166,2.312,2.421,2.549,2.888,3.11,,,,False,False,False,False,False,False,-0.0089999999999998,6.3085,-0.0272999999999994,0.0,0.0,0.0,-0.0089999999999998,-0.0089999999999998,-0.0089999999999998,0.0,0.0,0.0,-0.0089999999999998,-0.0089999999999998,-0.0089999999999998,112.73,112.85,113.33,112.3,,-0.49%,0.0085496343959451
1997-07-10,0.561,0.866,1.125,1.445,1.706,1.956,2.161,2.303,2.412,2.54,2.893,3.115,,,,False,False,False,False,False,False,-0.0089999999999998,6.3186,0.0100999999999995,0.0,0.0,0.0,-0.0089999999999998,-0.0089999999999998,-0.0089999999999998,0.0,0.0,0.0,-0.0089999999999998,-0.0089999999999998,-0.0089999999999998,113.15,112.65,113.35,112.33,,0.37%,0.0
1997-07-11,0.56,0.868,1.129,1.446,1.702,1.952,2.156,2.298,2.406,2.534,2.899,3.123,,,,False,False,False,False,False,False,-0.0060000000000002,6.2893,-0.0293000000000001,0.0,0.0,0.0,-0.0060000000000002,-0.0060000000000002,-0.0060000000000002,0.0,0.0,0.0,-0.0060000000000002,-0.0060000000000002,-0.0060000000000002,114.25,113.0,114.25,112.98,,0.97%,0.006829997506444
1997-07-14,0.579,0.873,1.138,1.451,1.706,1.95,2.155,2.298,2.406,2.539,2.904,3.127,,,,False,False,False,False,False,False,0.0050000000000003,6.3098,0.0205000000000001,0.0,0.0,0.0,0.0050000000000003,0.0050000000000003,0.0050000000000003,0.0,0.0,0.0,0.0050000000000003,0.0050000000000003,0.0050000000000003,113.81,114.1,114.21,113.25,,-0.39%,0.0
