Date,2yr - AG,3yr - AG,5yr - AG,10yr - AG,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,year,inflation,Unnamed: 2,real_interest_rate
1995-01-03,10.23,10.22,10.17,10.06,5.47,,,,1995-01-01,4.63,in %,5.189716142597733
1995-01-04,10.31,10.32,10.28,10.18,5.51,,,,1995-01-01,4.63,in %,5.304406002102646
1995-01-05,10.35,10.37,10.34,10.32,5.54,,,,1995-01-01,4.63,in %,5.438210838191715
1995-01-06,10.34,10.37,10.36,10.36,5.56,,,,1995-01-01,4.63,in %,5.476440791360027
1995-01-09,10.3,10.36,10.37,10.43,5.57,,,,1995-01-01,4.63,in %,5.543343209404572
1995-01-10,10.28,10.38,10.4,10.42,5.58,,,,1995-01-01,4.63,in %,5.533785721112494
1995-01-11,10.28,10.38,10.39,10.37,5.57,,,,1995-01-01,4.63,in %,5.4859982796521045
1995-01-12,10.2,10.3,10.31,10.3,5.55,,,,1995-01-01,4.63,in %,5.419095861607559
1995-01-13,10.26,10.36,10.38,10.41,5.57,,,,1995-01-01,4.63,in %,5.524228232820416
1995-01-16,10.05,10.16,10.21,10.29,5.53,,,,1995-01-01,4.63,in %,5.409538373315481
1995-01-17,10.02,10.13,10.18,10.28,5.53,,,,1995-01-01,4.63,in %,5.399980885023425
1995-01-18,10.1,10.19,10.23,10.28,5.53,,,,1995-01-01,4.63,in %,5.399980885023425
1995-01-19,10.23,10.31,10.33,10.33,5.53,,,,1995-01-01,4.63,in %,5.447768326483793
1995-01-20,10.29,10.37,10.39,10.41,5.57,,,,1995-01-01,4.63,in %,5.524228232820416
1995-01-23,10.35,10.44,10.48,10.56,5.62,,,,1995-01-01,4.63,in %,5.667590557201563
1995-01-24,10.32,10.41,10.45,10.5,5.61,,,,1995-01-01,4.63,in %,5.610245627449095
1995-01-25,10.1,10.23,10.29,10.38,5.6,,,,1995-01-01,4.63,in %,5.495555767944205
1995-01-27,9.98,10.06,10.14,10.23,5.58,,,,1995-01-01,4.63,in %,5.352193443563036
1995-01-30,9.91,10.0,10.08,10.18,5.56,,,,1995-01-01,4.63,in %,5.304406002102646
1995-01-31,10.14,10.24,10.32,10.4,5.61,,,,1995-01-01,4.63,in %,5.514670744528338
1995-02-01,9.88,9.98,10.09,10.2,5.57,,,,1995-01-01,4.63,in %,5.323520978686802
1995-02-02,9.88,9.98,10.11,10.22,5.58,,,,1995-01-01,4.63,in %,5.342635955270958
1995-02-03,9.83,9.94,10.07,10.16,5.57,,,,1995-01-01,4.63,in %,5.28529102551849
1995-02-06,9.57,9.69,9.88,10.02,5.55,,,,1995-01-01,4.63,in %,5.151486189429422
1995-02-07,9.67,9.8,10.03,10.17,5.58,,,,1995-01-01,4.63,in %,5.294848513810568
1995-02-08,9.63,9.78,10.02,10.13,5.59,,,,1995-01-01,4.63,in %,5.256618560642257
1995-02-09,9.69,9.82,10.04,10.14,5.58,,,,1995-01-01,4.63,in %,5.2661760489343346
