Date,2yr - AG,3yr - AG,5yr - AG,10yr - AG,Indexed,3yr - NSW,5yr - NSW,10yr - NSW
1995-01-03,10.23,10.22,10.17,10.06,5.47,,,
1995-01-04,10.31,10.32,10.28,10.18,5.51,,,
1995-01-05,10.35,10.37,10.34,10.32,5.54,,,
1995-01-06,10.34,10.37,10.36,10.36,5.56,,,
1995-01-09,10.3,10.36,10.37,10.43,5.57,,,
1995-01-10,10.28,10.38,10.4,10.42,5.58,,,
1995-01-11,10.28,10.38,10.39,10.37,5.57,,,
1995-01-12,10.2,10.3,10.31,10.3,5.55,,,
1995-01-13,10.26,10.36,10.38,10.41,5.57,,,
1995-01-16,10.05,10.16,10.21,10.29,5.53,,,
1995-01-17,10.02,10.13,10.18,10.28,5.53,,,
1995-01-18,10.1,10.19,10.23,10.28,5.53,,,
1995-01-19,10.23,10.31,10.33,10.33,5.53,,,
1995-01-20,10.29,10.37,10.39,10.41,5.57,,,
1995-01-23,10.35,10.44,10.48,10.56,5.62,,,
1995-01-24,10.32,10.41,10.45,10.5,5.61,,,
1995-01-25,10.1,10.23,10.29,10.38,5.6,,,
1995-01-27,9.98,10.06,10.14,10.23,5.58,,,
1995-01-30,9.91,10.0,10.08,10.18,5.56,,,
1995-01-31,10.14,10.24,10.32,10.4,5.61,,,
1995-02-01,9.88,9.98,10.09,10.2,5.57,,,
1995-02-02,9.88,9.98,10.11,10.22,5.58,,,
1995-02-03,9.83,9.94,10.07,10.16,5.57,,,
1995-02-06,9.57,9.69,9.88,10.02,5.55,,,
1995-02-07,9.67,9.8,10.03,10.17,5.58,,,
1995-02-08,9.63,9.78,10.02,10.13,5.59,,,
1995-02-09,9.69,9.82,10.04,10.14,5.58,,,
1995-02-10,9.69,9.81,10.03,10.15,5.58,,,
1995-02-13,9.72,9.85,10.08,10.23,5.59,,,
1995-02-14,9.73,9.86,10.11,10.27,5.61,,,
1995-02-15,9.57,9.7,9.98,10.15,5.58,,,
1995-02-16,9.51,9.65,9.93,10.12,5.57,,,
1995-02-17,9.53,9.66,9.95,10.19,5.59,,,
1995-02-20,9.6,9.73,10.01,10.21,5.6,,,
1995-02-21,9.52,9.65,9.93,10.14,5.59,,,
1995-02-22,9.47,9.62,9.94,10.2,5.59,,,
1995-02-23,9.28,9.45,9.82,10.17,5.61,,,
1995-02-24,9.3,9.48,9.85,10.15,5.58,,,
1995-02-27,9.04,9.23,9.66,10.06,5.55,,,
1995-02-28,9.1,9.28,9.68,9.85,5.5,,,
1995-03-01,9.09,9.27,9.64,9.9,5.56,,,
1995-03-02,9.25,9.41,9.76,9.95,5.55,,,
1995-03-03,9.44,9.59,9.92,10.08,5.56,,,
1995-03-06,9.6,9.74,10.12,10.36,5.58,,,
1995-03-07,9.48,9.62,10.01,10.31,5.56,,,
1995-03-08,9.55,9.7,10.09,10.36,5.57,,,
1995-03-09,9.66,9.79,10.09,10.23,5.56,,,
1995-03-10,9.68,9.8,10.11,10.25,5.55,,,
1995-03-13,9.5,9.63,9.95,10.12,5.55,,,
1995-03-14,9.39,9.53,9.87,10.08,5.53,,,
1995-03-15,9.36,9.57,9.79,9.94,5.49,,,
1995-03-16,9.32,9.54,9.78,10.0,5.48,,,
1995-03-17,9.42,9.64,9.0,10.17,5.49,,,
1995-03-20,9.46,9.68,9.94,10.22,5.5,,,
1995-03-21,9.34,9.58,8.89,10.18,5.5,,,
1995-03-22,9.38,9.64,9.97,10.3,5.52,,,
1995-03-23,9.38,9.63,9.94,10.23,5.52,,,
1995-03-24,9.34,9.59,9.91,10.2,5.51,,,
1995-03-27,9.11,9.37,9.743,10.07,5.49,,,
1995-03-28,9.17,9.42,9.76,10.07,5.49,,,
1995-03-29,9.3,9.55,9.88,10.19,5.49,,,
1995-03-30,9.3,9.55,9.87,10.13,5.49,,,
1995-03-31,8.99,9.25,9.57,9.83,5.45,,,
1995-04-03,8.98,9.24,9.61,9.9,5.45,,,
1995-04-04,8.94,9.2,9.53,9.8,5.44,,,
1995-04-05,8.98,9.24,9.56,9.84,5.44,,,
1995-04-06,8.94,9.2,9.51,9.79,5.35,,,
1995-04-07,8.97,9.24,9.56,9.83,5.33,,,
1995-04-10,9.01,9.26,9.59,9.9,5.34,,,
1995-04-11,8.92,9.16,9.419,9.8,5.33,,,
1995-04-12,8.87,9.11,9.44,9.78,5.29,,,
1995-04-13,8.84,9.09,9.41,9.77,5.26,,,
1995-04-18,8.66,8.91,9.28,9.69,5.24,,,
1995-04-19,8.74,8.99,9.37,9.79,5.17,,,
1995-04-20,8.77,9.01,9.37,9.76,5.12,,,
1995-04-21,8.91,9.13,9.47,9.85,5.12,,,
1995-04-24,9.03,9.24,9.56,9.86,5.12,,,
1995-04-26,9.0,9.19,9.49,9.84,5.12,,,
1995-04-27,8.84,9.03,9.34,9.69,5.08,,,
1995-04-28,8.82,9.01,9.32,9.69,5.08,,,
1995-05-01,8.82,9.01,9.33,9.69,5.07,,,
1995-05-02,8.81,9.0,9.32,9.7,5.08,,,
1995-05-03,8.79,8.98,9.29,9.68,5.08,,,
1995-05-04,8.57,8.75,9.06,9.47,4.9,,,
1995-05-05,8.56,8.73,9.02,9.38,4.81,,,
1995-05-08,8.27,8.46,8.74,9.1,4.75,,,
1995-05-09,8.24,8.42,8.7,9.05,4.77,,,
1995-05-10,8.22,8.39,8.67,9.02,4.7,,,
1995-05-11,8.24,8.43,8.69,9.05,4.71,,,
1995-05-12,8.25,8.43,8.71,9.1,4.71,,,
1995-05-15,8.07,8.26,8.57,9.01,4.7,,,
1995-05-16,8.1,8.28,8.59,9.01,4.72,,,
1995-05-17,8.0,8.19,8.48,8.86,4.73,,,
1995-05-18,8.11,8.31,8.61,8.99,4.74,,,
1995-05-19,8.19,8.39,8.69,9.09,4.77,,,
1995-05-22,8.21,8.39,8.7,9.1,4.78,,,
1995-05-23,8.15,8.33,8.64,9.06,4.79,,,
1995-05-24,7.99,8.17,8.49,8.94,4.79,,,
1995-05-25,7.79,7.97,8.28,8.74,4.78,,,
1995-05-26,7.84,8.02,8.32,8.81,4.79,,,
1995-05-29,7.71,7.89,8.24,8.82,4.79,,,
1995-05-30,7.69,7.86,8.23,8.83,4.79,,,
1995-05-31,7.76,7.92,8.31,8.94,4.81,,,
1995-06-01,7.85,8.02,8.41,9.04,4.83,,,
1995-06-02,7.78,7.96,8.36,9.0,4.81,,,
1995-06-05,7.47,7.65,8.02,8.61,4.76,,,
1995-06-06,7.53,7.71,8.07,8.63,4.73,,,
1995-06-07,7.61,7.82,8.18,8.71,4.73,,,
1995-06-08,7.81,8.04,8.38,8.89,4.76,,,
1995-06-09,7.78,8.01,8.38,8.94,4.76,,,
1995-06-13,7.72,7.96,8.36,8.94,4.77,,,
1995-06-14,7.62,7.85,8.25,8.83,4.75,,,
1995-06-15,7.66,7.89,8.3,8.88,4.75,,,
1995-06-16,7.74,7.99,8.38,8.94,4.76,,,
1995-06-19,7.7,8.04,8.35,8.95,4.75,,,
1995-06-20,7.7,8.04,8.34,8.91,4.74,,,
1995-06-21,7.55,7.88,8.19,8.78,4.73,,,
1995-06-22,7.59,7.92,8.21,8.76,4.73,,,
1995-06-23,7.47,7.77,8.07,8.67,4.71,,,
1995-06-26,7.56,7.86,8.16,8.78,4.71,,,
1995-06-27,7.59,7.87,8.19,8.8,4.72,,,
1995-06-28,7.6,7.9,8.23,8.86,4.71,,,
1995-06-29,7.58,7.87,8.21,8.85,4.7,,,
1995-06-30,7.91,8.27,8.61,9.21,4.79,,,
1995-07-03,7.81,8.16,8.53,9.18,4.79,,,
1995-07-04,7.72,8.07,8.45,9.13,4.79,,,
1995-07-05,7.71,8.06,8.43,9.07,4.75,,,
1995-07-06,7.7,8.04,8.41,9.05,4.71,,,
1995-07-07,7.31,7.65,8.05,8.74,4.63,,,
1995-07-10,7.32,7.65,8.06,8.75,4.65,,,
1995-07-11,7.4,7.73,8.13,8.8,4.65,,,
1995-07-12,7.42,7.75,8.15,8.81,4.69,,,
1995-07-13,7.42,7.77,8.16,8.8,4.71,,,
1995-07-14,7.43,7.76,8.16,8.79,4.7,,,
1995-07-17,7.59,7.95,8.35,8.97,4.73,,,
1995-07-18,7.69,8.05,8.44,9.07,4.76,,,
1995-07-19,7.74,8.11,8.53,9.17,4.8,,,
1995-07-20,7.82,8.22,8.64,9.31,4.84,,,
1995-07-21,7.71,8.09,8.51,9.18,4.81,,,
1995-07-24,7.78,8.18,8.61,9.28,4.83,,,
1995-07-25,7.72,8.1,8.53,9.19,4.79,,,
1995-07-26,7.83,8.23,8.65,9.3,4.82,,,
1995-07-27,8.1,8.47,8.86,9.4,4.85,,,
1995-07-28,8.02,8.38,8.76,9.31,4.82,,,
1995-07-31,8.17,8.52,8.89,9.42,4.83,,,
1995-08-01,8.02,8.36,8.73,9.29,4.82,,,
1995-08-02,7.96,8.28,8.65,9.22,4.82,,,
1995-08-03,7.97,8.29,8.67,9.23,4.81,,,
1995-08-04,8.06,8.38,8.76,9.35,4.84,,,
1995-08-07,7.95,8.28,8.65,9.22,4.82,,,
1995-08-08,7.86,8.16,8.54,9.14,4.8,,,
1995-08-09,7.9,8.21,8.6,9.19,4.82,,,
1995-08-10,7.83,8.12,8.5,9.05,4.8,,,
1995-08-11,7.79,8.07,8.44,8.97,4.79,,,
1995-08-14,7.91,8.18,8.53,9.02,4.8,,,
1995-08-15,7.95,8.14,8.56,9.06,4.8,,,
1995-08-16,7.96,8.15,8.56,9.05,4.8,,,
1995-08-17,7.96,8.15,8.55,9.07,4.8,,,
1995-08-18,7.92,8.11,8.51,9.06,4.79,,,
1995-08-21,7.93,8.1,8.5,9.03,4.79,,,
1995-08-22,7.93,8.13,8.53,9.08,4.79,,,
1995-08-23,7.98,8.2,8.6,9.14,4.79,,,
1995-08-24,8.09,8.33,8.73,9.25,4.83,,,
1995-08-25,8.01,8.24,8.64,9.17,4.81,,,
1995-08-28,7.99,8.23,8.66,9.17,4.81,,,
1995-08-29,7.93,8.16,8.6,9.12,4.81,,,
1995-08-30,7.75,7.97,8.43,9.0,4.77,,,
1995-08-31,7.76,7.98,8.44,8.98,4.76,,,
1995-09-01,7.68,7.87,8.34,8.89,4.75,,,
1995-09-04,7.62,7.8,8.28,8.85,4.74,,,
