,30yr,29yr,28yr,27yr,26yr,25yr,24yr,23yr,22yr,21yr,20yr,19yr,18yr,17yr,16yr,15yr,14yr,13yr,12yr,11yr,10yr,9yr,8yr,7yr,6yr,5yr,4yr,3yr,2yr,1yr
06/09/2004,4.988680065,4.974153309,4.958595918,4.941895929,4.923925083,4.9045359,4.883558153,4.860794578,4.836015671,4.808953326,4.779293043,4.746664362,4.710629064,4.670666595,4.626156009,4.576353555,4.520364857,4.45711042,4.385283059,4.303295877,4.209219926,4.10071222,3.974938674,3.828505245,3.657429279,3.457222188,3.223234659,2.951577998,2.641261536,2.298838461
07/09/2004,4.975494838,4.961157573,4.945803828,4.929323407,4.911590141,4.892459059,4.871762949,4.849308228,4.824869904,4.798185466,4.768947413,4.736794116,4.7012986,4.661954754,4.618160319,4.569195906,4.514199082,4.452132397,4.381744078,4.301520022,4.209625927,4.103839192,3.981472234,3.839293576,3.673462996,3.479517511,3.252486091,2.987292532,2.679765965,2.328890662
08/09/2004,4.978894171,4.964875959,4.94986345,4.933748719,4.916408163,4.8976997,4.877459392,4.855497351,4.831592771,4.805487874,4.77688051,4.745415094,4.710671466,4.672151171,4.62926052,4.58128965,4.527386595,4.466525208,4.397465519,4.318704973,4.228418977,4.124389522,4.003921936,3.863752866,3.699959408,3.507893638,3.282195863,3.016997945,2.706542325,2.346665569
09/09/2004,4.946545279,4.931719383,4.915844495,4.898807512,4.88047912,4.860710953,4.839332192,4.816145458,4.790921852,4.763394953,4.733253517,4.700132592,4.663602663,4.623156373,4.578192244,4.527994681,4.471709436,4.408313497,4.336578308,4.255025187,4.161872116,4.05497204,3.931745214,3.789113494,3.623455862,3.430627954,3.206135772,2.945648605,2.646224036,2.3089882
10/09/2004,4.918530044,4.903483186,4.887371599,4.87008044,4.851478383,4.83141473,4.809715932,4.786181398,4.760578423,4.732636031,4.702037479,4.668411112,4.631319157,4.590243973,4.544571131,4.493568564,4.436360882,4.371897775,4.298915387,4.215889673,4.120981441,4.011974673,3.886214182,3.740558551,3.571385325,3.374729217,3.146723744,2.884698885,2.589654467,2.271565629
13/09/2004,4.929555475,4.914558719,4.898501821,4.881270744,4.862735176,4.842745708,4.821130439,4.797690904,4.772197155,4.744381819,4.713932892,4.680484991,4.643608683,4.602797488,4.55745198,4.50686035,4.450174656,4.386381843,4.314268595,4.232379104,4.138965263,4.031929877,3.908765973,3.766500698,3.6016633,3.41031876,3.188252059,2.931472673,2.637372559,2.3071858
14/09/2004,4.92815661,4.913030617,4.896835345,4.879455772,4.860760462,4.840598709,4.818797121,4.795155502,4.769441892,4.741386565,4.710674753,4.676937801,4.639742395,4.598577413,4.552837854,4.501805184,4.444623318,4.380269353,4.307518116,4.224899741,4.130649993,4.022654419,3.898390457,3.754878114,3.588662965,3.395881557,3.172510953,2.91500486,2.621713605,2.295860433
15/09/2004,4.921745016,4.906724172,4.890641177,4.873381687,4.854815015,4.834791285,4.813138014,4.789656003,4.764114374,4.736244565,4.705733044,4.672212448,4.635250776,4.594338189,4.548870863,4.49813123,4.441263794,4.377245658,4.304850784,4.22260721,4.128746949,4.021149698,3.897284631,3.754161188,3.588313312,3.395868556,3.172806552,2.915614582,2.622747742,2.297685687
16/09/2004,4.913588816,4.898760894,4.882884225,4.865845843,4.847516616,4.827748427,4.806370792,4.783186779,4.75796809,4.730449104,4.700319646,4.66721619,4.630711124,4.590299645,4.54538371,4.495252388,4.439057823,4.375785895,4.304220613,4.222901415,4.130072962,4.023628319,3.90104923,3.75935321,3.595069461,3.404289989,3.182890138,2.92710558,2.634831682,2.308354306
17/09/2004,4.893321998,4.878315306,4.86224698,4.845002587,4.826451288,4.806442975,4.784804816,4.761337097,4.735808198,4.707948493,4.677442938,4.643922034,4.606950773,4.566015101,4.520505305,4.46969562,4.412719214,4.348537629,4.275903749,4.193317652,4.098975534,3.990714019,3.86595683,3.72168062,3.554436959,3.360507887,3.136352756,2.879661931,2.591641627,2.281754997
