Date,1y Yield,2y Yield,5y Yield,10y Yield,20y Yield,30y Yield
1988-01-01,,4.422,5.441,6.417,,
1988-01-04,,4.322,5.379,6.33,,
1988-01-05,,4.296,5.402,6.366,,
1988-01-06,,4.32,5.412,6.452,,
1988-01-07,,4.318,5.419,6.452,,
1988-01-08,,4.367,5.442,6.552,,
1988-01-11,,4.391,5.561,6.573,,
1988-01-12,,4.39,5.592,6.609,,
1988-01-13,,4.364,5.534,6.594,,
1988-01-14,,4.362,5.493,6.594,,
1988-01-15,,4.361,5.467,6.551,,
1988-01-18,,4.361,5.478,6.565,,
1988-01-19,,4.36,5.476,6.514,,
1988-01-20,,4.359,5.45,6.457,,
1988-01-21,,4.357,5.458,6.471,,
1988-01-22,,4.356,5.442,6.427,,
1988-01-25,,4.355,5.452,6.449,,
1988-01-26,,4.355,5.428,6.419,,
1988-01-27,,4.354,5.405,6.404,,
1988-01-28,,4.307,5.372,6.325,,
1988-01-29,,4.307,5.393,6.369,,
1988-02-01,,4.525,5.321,6.3,,
1988-02-02,,4.524,5.324,6.321,,
1988-02-03,,4.523,5.328,6.279,,
1988-02-04,,4.52,5.315,6.279,,
1988-02-05,,4.463,5.292,6.285,,
1988-02-08,,4.443,5.27,6.264,,
1988-02-09,,4.405,5.198,6.285,,
1988-02-10,,4.348,5.151,6.236,,
1988-02-11,,4.345,5.161,6.214,,
1988-02-12,,4.344,5.164,6.214,,
1988-02-15,,4.417,5.205,6.291,,
1988-02-16,,4.416,5.208,6.291,,
1988-02-17,,4.415,5.223,6.326,,
1988-02-18,,4.468,5.272,6.361,,
1988-02-19,,4.41,5.234,6.318,,
1988-02-22,,4.409,5.208,6.297,,
1988-02-23,,4.408,5.203,6.248,,
1988-02-24,,4.407,5.168,6.234,,
1988-02-25,,4.404,5.167,6.247,,
1988-02-26,,4.34,5.163,6.237,,
1988-02-29,,4.282,5.081,6.195,,
1988-03-01,,4.319,5.104,6.188,,
1988-03-02,,4.318,5.081,6.167,,
1988-03-03,,4.333,5.08,6.151,,
1988-03-04,,4.332,5.079,6.137,,
1988-03-07,,4.349,5.102,6.187,,
1988-03-08,,4.386,5.126,6.229,,
1988-03-09,,4.385,5.114,6.194,,
1988-03-10,,4.382,5.101,6.157,,
1988-03-11,,4.342,5.101,6.178,,
1988-03-14,,4.341,5.1,6.156,,
1988-03-15,,4.34,5.1,6.178,,
1988-03-16,,4.339,5.123,6.192,,
1988-03-17,,4.335,5.122,6.206,,
1988-03-18,,4.295,5.099,6.162,,
1988-03-21,,4.294,5.098,6.205,,
1988-03-22,,4.331,5.157,6.198,,
1988-03-23,,4.311,5.133,6.168,,
1988-03-24,,4.327,5.156,6.218,,
1988-03-25,,4.325,5.156,6.204,,
1988-03-28,,4.324,5.144,6.203,,
1988-03-29,,4.323,5.167,6.232,,
1988-03-30,,4.323,5.169,6.234,,
1988-03-31,,4.321,5.169,6.233,,
1988-04-01,,4.321,5.169,6.216,,
1988-04-04,,4.321,5.169,6.216,,
1988-04-05,,4.32,5.181,6.223,,
1988-04-06,,4.319,5.18,6.223,,
1988-04-07,,4.315,5.156,6.201,,
1988-04-08,,4.294,5.156,6.215,,
1988-04-11,,4.254,5.155,6.194,,
1988-04-12,,4.253,5.143,6.215,,
1988-04-13,,4.251,5.143,6.215,,
1988-04-14,,4.247,5.13,6.2,,
1988-04-15,,4.246,5.142,6.193,,
1988-04-18,,4.265,5.154,6.2,,
1988-04-19,,4.263,5.189,6.228,,
1988-04-20,,4.262,5.225,6.249,,
1988-04-21,,4.258,5.224,6.235,,
1988-04-22,,4.316,5.26,6.277,,
1988-04-25,,4.355,5.284,6.313,,
1988-04-26,,4.373,5.308,6.355,,
1988-04-27,,4.392,5.32,6.355,,
1988-04-28,,4.509,5.405,6.431,,
1988-04-29,,4.568,5.429,6.453,,
1988-05-02,,4.567,5.776,6.454,,
1988-05-03,,4.607,5.801,6.483,,
1988-05-04,,4.606,5.802,6.468,,
1988-05-05,,4.603,5.826,6.49,,
1988-05-06,,4.582,5.851,6.49,,
1988-05-09,,4.682,5.959,6.636,,
1988-05-10,,4.681,6.008,6.636,,
1988-05-11,,4.822,6.033,6.636,,
1988-05-12,,4.822,6.033,6.636,,
1988-05-13,,4.718,5.949,6.591,,
1988-05-16,,4.697,5.879,6.482,,
1988-05-17,,4.716,5.879,6.511,,
1988-05-18,,4.881,5.879,6.636,,
1988-05-19,,4.878,5.879,6.635,,
1988-05-20,,4.856,5.879,6.613,,
1988-05-23,,4.856,5.879,6.613,,
1988-05-24,,4.855,5.879,6.635,,
1988-05-25,,4.855,5.879,6.599,,
1988-05-26,,4.832,5.88,6.621,,
1988-05-27,,4.831,5.609,6.621,,
1988-05-30,,4.857,5.634,6.63,,
1988-05-31,,4.856,5.629,6.638,,
1988-06-01,,4.812,5.636,6.601,,
1988-06-02,,4.812,5.636,6.601,,
1988-06-03,,4.79,5.633,6.601,,
1988-06-06,,4.768,5.566,6.498,,
1988-06-07,,4.788,5.552,6.52,,
1988-06-08,,4.787,5.552,6.527,,
1988-06-09,,4.764,5.55,6.498,,
