Date,1y Yield,2y Yield,5y Yield,10y Yield,20y Yield,30y Yield,year,inflation,Unnamed: 2,real_interest_rate
1988-01-01,,4.422,5.441,6.417,,,1988-01-01,1.27,in %,5.082452848820007
1988-01-04,,4.322,5.379,6.33,,,1988-01-01,1.27,in %,4.996543892564431
1988-01-05,,4.296,5.402,6.366,,,1988-01-01,1.27,in %,5.032092426187429
1988-01-06,,4.32,5.412,6.452,,,1988-01-01,1.27,in %,5.117013923175673
1988-01-07,,4.318,5.419,6.452,,,1988-01-01,1.27,in %,5.117013923175673
1988-01-08,,4.367,5.442,6.552,,,1988-01-01,1.27,in %,5.21575984990621
1988-01-11,,4.391,5.561,6.573,,,1988-01-01,1.27,in %,5.236496494519605
1988-01-12,,4.39,5.592,6.609,,,1988-01-01,1.27,in %,5.272045028142602
1988-01-13,,4.364,5.534,6.594,,,1988-01-01,1.27,in %,5.257233139133
1988-01-14,,4.362,5.493,6.594,,,1988-01-01,1.27,in %,5.257233139133
1988-01-15,,4.361,5.467,6.551,,,1988-01-01,1.27,in %,5.2147723906389
1988-01-18,,4.361,5.478,6.565,,,1988-01-01,1.27,in %,5.228596820381171
1988-01-19,,4.36,5.476,6.514,,,1988-01-01,1.27,in %,5.178236397748592
1988-01-20,,4.359,5.45,6.457,,,1988-01-01,1.27,in %,5.1219512195122
1988-01-21,,4.357,5.458,6.471,,,1988-01-01,1.27,in %,5.13577564925447
1988-01-22,,4.356,5.442,6.427,,,1988-01-01,1.27,in %,5.092327441493061
1988-01-25,,4.355,5.452,6.449,,,1988-01-01,1.27,in %,5.114051545373743
1988-01-26,,4.355,5.428,6.419,,,1988-01-01,1.27,in %,5.0844277673546046
1988-01-27,,4.354,5.405,6.404,,,1988-01-01,1.27,in %,5.069615878345024
1988-01-28,,4.307,5.372,6.325,,,1988-01-01,1.27,in %,4.991606596227904
1988-01-29,,4.307,5.393,6.369,,,1988-01-01,1.27,in %,5.035054803989336
1988-02-01,,4.525,5.321,6.3,,,1988-01-01,1.27,in %,4.96692011454527
1988-02-02,,4.524,5.324,6.321,,,1988-01-01,1.27,in %,4.987656759158687
1988-02-03,,4.523,5.328,6.279,,,1988-01-01,1.27,in %,4.946183469931853
1988-02-04,,4.52,5.315,6.279,,,1988-01-01,1.27,in %,4.946183469931853
1988-02-05,,4.463,5.292,6.285,,,1988-01-01,1.27,in %,4.952108225535712
1988-02-08,,4.443,5.27,6.264,,,1988-01-01,1.27,in %,4.931371580922295
1988-02-09,,4.405,5.198,6.285,,,1988-01-01,1.27,in %,4.952108225535712
1988-02-10,,4.348,5.151,6.236,,,1988-01-01,1.27,in %,4.903722721437753
1988-02-11,,4.345,5.161,6.214,,,1988-01-01,1.27,in %,4.8819986175570484
1988-02-12,,4.344,5.164,6.214,,,1988-01-01,1.27,in %,4.8819986175570484
1988-02-15,,4.417,5.205,6.291,,,1988-01-01,1.27,in %,4.958032981139526
1988-02-16,,4.416,5.208,6.291,,,1988-01-01,1.27,in %,4.958032981139526
1988-02-17,,4.415,5.223,6.326,,,1988-01-01,1.27,in %,4.992594055495236
1988-02-18,,4.468,5.272,6.361,,,1988-01-01,1.27,in %,5.027155129850902
1988-02-19,,4.41,5.234,6.318,,,1988-01-01,1.27,in %,4.98469438135678
1988-02-22,,4.409,5.208,6.297,,,1988-01-01,1.27,in %,4.963957736743363
1988-02-23,,4.408,5.203,6.248,,,1988-01-01,1.27,in %,4.9155722326454265
1988-02-24,,4.407,5.168,6.234,,,1988-01-01,1.27,in %,4.901747802903134
1988-02-25,,4.404,5.167,6.247,,,1988-01-01,1.27,in %,4.914584773378117
1988-02-26,,4.34,5.163,6.237,,,1988-01-01,1.27,in %,4.904710180705063
1988-02-29,,4.282,5.081,6.195,,,1988-01-01,1.27,in %,4.863236891478229
1988-03-01,,4.319,5.104,6.188,,,1988-01-01,1.27,in %,4.856324676607082
1988-03-02,,4.318,5.081,6.167,,,1988-01-01,1.27,in %,4.835588031993687
1988-03-03,,4.333,5.08,6.151,,,1988-01-01,1.27,in %,4.819788683716797
1988-03-04,,4.332,5.079,6.137,,,1988-01-01,1.27,in %,4.805964253974526
1988-03-07,,4.349,5.102,6.187,,,1988-01-01,1.27,in %,4.855337217339795
1988-03-08,,4.386,5.126,6.229,,,1988-01-01,1.27,in %,4.896810506566607
1988-03-09,,4.385,5.114,6.194,,,1988-01-01,1.27,in %,4.862249432210941
1988-03-10,,4.382,5.101,6.157,,,1988-01-01,1.27,in %,4.825713439320634
1988-03-11,,4.342,5.101,6.178,,,1988-01-01,1.27,in %,4.8464500839340285
1988-03-14,,4.341,5.1,6.156,,,1988-01-01,1.27,in %,4.824725980053346
1988-03-15,,4.34,5.1,6.178,,,1988-01-01,1.27,in %,4.8464500839340285
1988-03-16,,4.339,5.123,6.192,,,1988-01-01,1.27,in %,4.8602745136763215
1988-03-17,,4.335,5.122,6.206,,,1988-01-01,1.27,in %,4.874098943418592
1988-03-18,,4.295,5.099,6.162,,,1988-01-01,1.27,in %,4.83065073565716
1988-03-21,,4.294,5.098,6.205,,,1988-01-01,1.27,in %,4.873111484151282
1988-03-22,,4.331,5.157,6.198,,,1988-01-01,1.27,in %,4.866199269280136
1988-03-23,,4.311,5.133,6.168,,,1988-01-01,1.27,in %,4.836575491260997
1988-03-24,,4.327,5.156,6.218,,,1988-01-01,1.27,in %,4.885948454626243
1988-03-25,,4.325,5.156,6.204,,,1988-01-01,1.27,in %,4.872124024883995
1988-03-28,,4.324,5.144,6.203,,,1988-01-01,1.27,in %,4.871136565616685
1988-03-29,,4.323,5.167,6.232,,,1988-01-01,1.27,in %,4.899772884368514
1988-03-30,,4.323,5.169,6.234,,,1988-01-01,1.27,in %,4.901747802903134
1988-03-31,,4.321,5.169,6.233,,,1988-01-01,1.27,in %,4.900760343635824
1988-04-01,,4.321,5.169,6.216,,,1988-01-01,1.27,in %,4.883973536091646
1988-04-04,,4.321,5.169,6.216,,,1988-01-01,1.27,in %,4.883973536091646
1988-04-05,,4.32,5.181,6.223,,,1988-01-01,1.27,in %,4.89088575096277
1988-04-06,,4.319,5.18,6.223,,,1988-01-01,1.27,in %,4.89088575096277
1988-04-07,,4.315,5.156,6.201,,,1988-01-01,1.27,in %,4.869161647082065
1988-04-08,,4.294,5.156,6.215,,,1988-01-01,1.27,in %,4.882986076824336
1988-04-11,,4.254,5.155,6.194,,,1988-01-01,1.27,in %,4.862249432210941
1988-04-12,,4.253,5.143,6.215,,,1988-01-01,1.27,in %,4.882986076824336
1988-04-13,,4.251,5.143,6.215,,,1988-01-01,1.27,in %,4.882986076824336
1988-04-14,,4.247,5.13,6.2,,,1988-01-01,1.27,in %,4.8681741878147555
1988-04-15,,4.246,5.142,6.193,,,1988-01-01,1.27,in %,4.861261972943631
1988-04-18,,4.265,5.154,6.2,,,1988-01-01,1.27,in %,4.8681741878147555
1988-04-19,,4.263,5.189,6.228,,,1988-01-01,1.27,in %,4.895823047299297
1988-04-20,,4.262,5.225,6.249,,,1988-01-01,1.27,in %,4.916559691912714
1988-04-21,,4.258,5.224,6.235,,,1988-01-01,1.27,in %,4.902735262170443
1988-04-22,,4.316,5.26,6.277,,,1988-01-01,1.27,in %,4.944208551397256
1988-04-25,,4.355,5.284,6.313,,,1988-01-01,1.27,in %,4.979757085020231
1988-04-26,,4.373,5.308,6.355,,,1988-01-01,1.27,in %,5.021230374247065
