Date,2yr,5yr,10yr,20yr,In SNB 3dWindow,In SNB 5dWindow,In SNB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,SNB 10yr - 3dWindow Change,SNB 10yr - 5dWindow Change,SNB 10yr - 7dWindow Change,SNB 10yr - Outside 3dWindow Change,SNB 10yr - Outside 5dWindow Change,SNB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
2000-01-03,2.539,2.986,3.617,4.276,False,False,False,False,False,False,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
2000-01-04,2.643,3.115,3.741,4.334,False,False,False,False,False,False,0.12400000000000011,0.0,0.0,0.0,0.12400000000000011,0.12400000000000011,0.12400000000000011,0.0,0.0,0.0,0.12400000000000011,0.12400000000000011,0.12400000000000011
2000-01-05,2.622,3.071,3.719,4.341,False,False,False,False,False,False,-0.02200000000000024,0.0,0.0,0.0,-0.02200000000000024,-0.02200000000000024,-0.02200000000000024,0.0,0.0,0.0,-0.02200000000000024,-0.02200000000000024,-0.02200000000000024
2000-01-06,2.639,3.098,3.74,4.341,False,False,False,False,False,False,0.02100000000000035,0.0,0.0,0.0,0.02100000000000035,0.02100000000000035,0.02100000000000035,0.0,0.0,0.0,0.02100000000000035,0.02100000000000035,0.02100000000000035
2000-01-07,2.653,3.089,3.726,4.355,False,False,False,False,False,False,-0.014000000000000234,0.0,0.0,0.0,-0.014000000000000234,-0.014000000000000234,-0.014000000000000234,0.0,0.0,0.0,-0.014000000000000234,-0.014000000000000234,-0.014000000000000234
2000-01-10,2.62,3.067,3.687,4.312,False,False,False,False,False,False,-0.039000000000000146,0.0,0.0,0.0,-0.039000000000000146,-0.039000000000000146,-0.039000000000000146,0.0,0.0,0.0,-0.039000000000000146,-0.039000000000000146,-0.039000000000000146
2000-01-11,2.649,3.088,3.71,4.316,False,False,False,False,False,False,0.02300000000000013,0.0,0.0,0.0,0.02300000000000013,0.02300000000000013,0.02300000000000013,0.0,0.0,0.0,0.02300000000000013,0.02300000000000013,0.02300000000000013
2000-01-12,2.688,3.117,3.752,4.349,False,False,False,False,False,False,0.041999999999999815,0.0,0.0,0.0,0.041999999999999815,0.041999999999999815,0.041999999999999815,0.0,0.0,0.0,0.041999999999999815,0.041999999999999815,0.041999999999999815
2000-01-13,2.688,3.086,3.71,4.34,False,False,False,False,False,False,-0.041999999999999815,0.0,0.0,0.0,-0.041999999999999815,-0.041999999999999815,-0.041999999999999815,0.0,0.0,0.0,-0.041999999999999815,-0.041999999999999815,-0.041999999999999815
2000-01-14,2.67,3.069,3.661,4.313,False,False,False,False,False,False,-0.04899999999999993,0.0,0.0,0.0,-0.04899999999999993,-0.04899999999999993,-0.04899999999999993,0.0,0.0,0.0,-0.04899999999999993,-0.04899999999999993,-0.04899999999999993
2000-01-17,2.671,3.102,3.658,4.296,False,False,True,False,False,False,-0.0030000000000001137,0.0,0.0,-0.0030000000000001137,-0.0030000000000001137,-0.0030000000000001137,0.0,0.0,0.0,0.0,-0.0030000000000001137,-0.0030000000000001137,-0.0030000000000001137
2000-01-18,2.67,3.124,3.677,4.316,False,True,True,False,False,False,0.019000000000000128,0.0,0.019000000000000128,0.019000000000000128,0.019000000000000128,0.0,0.0,0.0,0.0,0.0,0.019000000000000128,0.019000000000000128,0.019000000000000128
2000-01-19,2.739,3.168,3.732,4.369,True,True,True,False,False,False,0.05500000000000016,0.05500000000000016,0.05500000000000016,0.05500000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.05500000000000016,0.05500000000000016,0.05500000000000016
2000-01-20,2.737,3.158,3.716,4.343,True,True,True,False,False,False,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,-0.016000000000000014,-0.016000000000000014,-0.016000000000000014
2000-01-21,2.753,3.207,3.728,4.355,True,True,True,False,False,False,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.01200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.01200000000000001,0.01200000000000001,0.01200000000000001
2000-01-24,2.769,3.22,3.741,4.355,False,False,False,False,False,False,0.0129999999999999,0.0,0.0,0.0,0.0129999999999999,0.0129999999999999,0.0129999999999999,0.0,0.0,0.0,0.0129999999999999,0.0129999999999999,0.0129999999999999
2000-01-25,2.783,3.21,3.73,4.347,False,False,False,False,False,False,-0.01100000000000012,0.0,0.0,0.0,-0.01100000000000012,-0.01100000000000012,-0.01100000000000012,0.0,0.0,0.0,-0.01100000000000012,-0.01100000000000012,-0.01100000000000012
2000-01-26,2.782,3.227,3.751,4.349,False,False,False,False,False,False,0.020999999999999908,0.0,0.0,0.0,0.020999999999999908,0.020999999999999908,0.020999999999999908,0.0,0.0,0.0,0.020999999999999908,0.020999999999999908,0.020999999999999908
2000-01-27,2.759,3.216,3.73,4.341,False,False,False,False,False,False,-0.020999999999999908,0.0,0.0,0.0,-0.020999999999999908,-0.020999999999999908,-0.020999999999999908,0.0,0.0,0.0,-0.020999999999999908,-0.020999999999999908,-0.020999999999999908
2000-01-28,2.815,3.298,3.779,4.355,False,False,False,False,False,False,0.04899999999999993,0.0,0.0,0.0,0.04899999999999993,0.04899999999999993,0.04899999999999993,0.0,0.0,0.0,0.04899999999999993,0.04899999999999993,0.04899999999999993
2000-01-31,2.829,3.302,3.784,4.368,False,False,True,False,True,True,0.004999999999999893,0.0,0.0,0.004999999999999893,0.004999999999999893,0.004999999999999893,0.0,0.0,0.004999999999999893,0.004999999999999893,0.004999999999999893,0.0,0.0
2000-02-01,2.842,3.298,3.765,4.327,False,True,True,True,True,True,-0.018999999999999684,0.0,-0.018999999999999684,-0.018999999999999684,-0.018999999999999684,0.0,0.0,-0.018999999999999684,-0.018999999999999684,-0.018999999999999684,0.0,0.0,0.0
2000-02-02,2.868,3.294,3.753,4.35,True,True,True,True,True,True,-0.01200000000000001,-0.01200000000000001,-0.01200000000000001,-0.01200000000000001,0.0,0.0,0.0,-0.01200000000000001,-0.01200000000000001,-0.01200000000000001,0.0,0.0,0.0
2000-02-03,2.894,3.29,3.736,4.363,True,True,True,True,True,True,-0.016999999999999904,-0.016999999999999904,-0.016999999999999904,-0.016999999999999904,0.0,0.0,0.0,-0.016999999999999904,-0.016999999999999904,-0.016999999999999904,0.0,0.0,0.0
2000-02-04,2.967,3.275,3.644,4.249,True,True,True,False,True,True,-0.09200000000000008,-0.09200000000000008,-0.09200000000000008,-0.09200000000000008,0.0,0.0,0.0,0.0,-0.09200000000000008,-0.09200000000000008,-0.09200000000000008,0.0,0.0
2000-02-07,2.964,3.279,3.683,4.242,False,False,False,False,False,False,0.0389999999999997,0.0,0.0,0.0,0.0389999999999997,0.0389999999999997,0.0389999999999997,0.0,0.0,0.0,0.0389999999999997,0.0389999999999997,0.0389999999999997
2000-02-08,2.973,3.277,3.661,4.245,False,False,False,False,False,False,-0.021999999999999797,0.0,0.0,0.0,-0.021999999999999797,-0.021999999999999797,-0.021999999999999797,0.0,0.0,0.0,-0.021999999999999797,-0.021999999999999797,-0.021999999999999797
2000-02-09,2.982,3.282,3.647,4.225,False,False,False,False,False,False,-0.014000000000000234,0.0,0.0,0.0,-0.014000000000000234,-0.014000000000000234,-0.014000000000000234,0.0,0.0,0.0,-0.014000000000000234,-0.014000000000000234,-0.014000000000000234
2000-02-10,2.988,3.283,3.669,4.244,False,False,False,False,False,False,0.02200000000000024,0.0,0.0,0.0,0.02200000000000024,0.02200000000000024,0.02200000000000024,0.0,0.0,0.0,0.02200000000000024,0.02200000000000024,0.02200000000000024
2000-02-11,2.984,3.309,3.7,4.247,False,False,False,False,False,False,0.03100000000000014,0.0,0.0,0.0,0.03100000000000014,0.03100000000000014,0.03100000000000014,0.0,0.0,0.0,0.03100000000000014,0.03100000000000014,0.03100000000000014
2000-02-14,2.96,3.289,3.682,4.239,False,False,False,False,False,False,-0.018000000000000238,0.0,0.0,0.0,-0.018000000000000238,-0.018000000000000238,-0.018000000000000238,0.0,0.0,0.0,-0.018000000000000238,-0.018000000000000238,-0.018000000000000238
