Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
1997-01-02,6.39,6.62,7.02,7.46,4.26,,,,False,False,False,False,False,False,,6.5556,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
1997-01-03,6.52,6.76,7.17,7.66,4.31,,,,False,False,False,False,False,False,0.20000000000000018,6.5295,-0.026100000000000456,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,0.20000000000000018,0.0,0.0,0.0,0.20000000000000018,0.20000000000000018,0.20000000000000018
1997-01-06,6.47,6.72,7.13,7.59,4.3,,,,False,False,False,False,False,False,-0.07000000000000028,6.5567,0.027200000000000557,0.0,0.0,0.0,-0.07000000000000028,-0.07000000000000028,-0.07000000000000028,0.0,0.0,0.0,-0.07000000000000028,-0.07000000000000028,-0.07000000000000028
1997-01-07,6.38,6.65,7.08,7.58,4.29,,,,False,False,False,False,False,False,-0.009999999999999787,6.5821,0.025399999999999423,0.0,0.0,0.0,-0.009999999999999787,-0.009999999999999787,-0.009999999999999787,0.0,0.0,0.0,-0.009999999999999787,-0.009999999999999787,-0.009999999999999787
1997-01-08,6.27,6.54,6.99,7.54,4.28,,,,False,False,False,False,False,False,-0.040000000000000036,6.6052,0.023100000000000342,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036,0.0,0.0,0.0,-0.040000000000000036,-0.040000000000000036,-0.040000000000000036
1997-01-09,6.2,6.47,6.94,7.51,4.27,,,,False,False,False,False,False,False,-0.03000000000000025,6.5246,-0.08059999999999956,0.0,0.0,0.0,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025,0.0,0.0,0.0,-0.03000000000000025,-0.03000000000000025,-0.03000000000000025
1997-01-10,6.27,6.55,7.0,7.49,4.27,,,,False,False,False,False,False,False,-0.019999999999999574,6.6344,0.1097999999999999,0.0,0.0,0.0,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574,0.0,0.0,0.0,-0.019999999999999574,-0.019999999999999574,-0.019999999999999574
1997-01-13,6.27,6.56,7.02,7.56,4.29,,,,False,False,False,False,False,False,0.0699999999999994,6.6282,-0.0062000000000006494,0.0,0.0,0.0,0.0699999999999994,0.0699999999999994,0.0699999999999994,0.0,0.0,0.0,0.0699999999999994,0.0699999999999994,0.0699999999999994
1997-01-14,6.22,6.51,6.99,7.53,4.28,,,,False,False,False,False,False,False,-0.02999999999999936,6.5317,-0.09649999999999981,0.0,0.0,0.0,-0.02999999999999936,-0.02999999999999936,-0.02999999999999936,0.0,0.0,0.0,-0.02999999999999936,-0.02999999999999936,-0.02999999999999936
1997-01-15,6.12,6.43,6.9,7.41,4.24,,,,False,False,False,False,False,False,-0.1200000000000001,6.5413,0.009599999999999831,0.0,0.0,0.0,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,0.0,0.0,0.0,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001
1997-01-16,6.17,6.48,6.94,7.43,4.24,,,,False,False,False,False,False,False,0.019999999999999574,6.588,0.04670000000000041,0.0,0.0,0.0,0.019999999999999574,0.019999999999999574,0.019999999999999574,0.0,0.0,0.0,0.019999999999999574,0.019999999999999574,0.019999999999999574
1997-01-17,6.16,6.48,6.94,7.42,4.24,,,,False,False,False,False,False,False,-0.009999999999999787,6.5709,-0.017100000000000115,0.0,0.0,0.0,-0.009999999999999787,-0.009999999999999787,-0.009999999999999787,0.0,0.0,0.0,-0.009999999999999787,-0.009999999999999787,-0.009999999999999787
1997-01-20,6.1,6.42,6.88,7.32,4.2,,,,False,False,False,False,False,False,-0.09999999999999964,,,0.0,0.0,0.0,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964,0.0,0.0,0.0,-0.09999999999999964,-0.09999999999999964,-0.09999999999999964
1997-01-21,6.2,6.52,6.99,7.44,4.24,,,,False,False,False,False,False,False,0.1200000000000001,6.5249,,0.0,0.0,0.0,0.1200000000000001,0.1200000000000001,0.1200000000000001,0.0,0.0,0.0,0.1200000000000001,0.1200000000000001,0.1200000000000001
1997-01-22,6.09,6.42,6.89,7.31,4.2,,,,False,False,False,False,False,False,-0.13000000000000078,6.5695,0.04459999999999997,0.0,0.0,0.0,-0.13000000000000078,-0.13000000000000078,-0.13000000000000078,0.0,0.0,0.0,-0.13000000000000078,-0.13000000000000078,-0.13000000000000078
1997-01-23,6.13,6.46,6.92,7.32,4.2,,,,False,False,False,False,False,False,0.010000000000000675,6.5982,0.028700000000000614,0.0,0.0,0.0,0.010000000000000675,0.010000000000000675,0.010000000000000675,0.0,0.0,0.0,0.010000000000000675,0.010000000000000675,0.010000000000000675
1997-01-24,6.21,6.54,7.0,7.36,4.21,,,,False,False,False,False,False,False,0.040000000000000036,6.6481,0.049900000000000055,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.040000000000000036,0.040000000000000036,0.040000000000000036
1997-01-28,6.25,6.58,7.05,7.44,4.24,,,,False,False,False,False,False,False,0.08000000000000007,6.6526,0.004499999999999282,0.0,0.0,0.0,0.08000000000000007,0.08000000000000007,0.08000000000000007,0.0,0.0,0.0,0.08000000000000007,0.08000000000000007,0.08000000000000007
