Date,2yr,5yr,10yr,20yr,In SNB 3dWindow,In SNB 5dWindow,In SNB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,SNB 10yr - 3dWindow Change,SNB 10yr - 5dWindow Change,SNB 10yr - 7dWindow Change,SNB 10yr - Outside 3dWindow Change,SNB 10yr - Outside 5dWindow Change,SNB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
1997-01-01,2.049,3.056,4.125,4.919,False,False,False,False,False,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-02,2.049,3.056,4.125,4.919,False,False,False,False,False,False,0.0,6.5556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-03,2.049,3.056,4.125,4.919,False,False,False,False,False,False,0.0,6.5295,-0.026100000000000456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-06,2.097,3.082,4.164,4.983,False,False,False,False,False,False,0.0389999999999997,6.5567,0.027200000000000557,0.0,0.0,0.0,0.0389999999999997,0.0389999999999997,0.0389999999999997,0.0,0.0,0.0,0.0389999999999997,0.0389999999999997,0.0389999999999997
1997-01-07,2.097,3.082,4.164,4.983,False,False,False,False,False,False,0.0,6.5821,0.025399999999999423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-08,2.097,3.082,4.164,4.983,False,False,False,False,False,False,0.0,6.6052,0.023100000000000342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-09,2.097,3.082,4.164,4.983,False,False,False,False,False,False,0.0,6.5246,-0.08059999999999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-10,2.097,3.082,4.164,4.983,False,False,False,False,False,False,0.0,6.6344,0.1097999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997-01-13,1.983,2.963,4.065,5.025,False,False,False,False,False,False,-0.09899999999999931,6.6282,-0.0062000000000006494,0.0,0.0,0.0,-0.09899999999999931,-0.09899999999999931,-0.09899999999999931,0.0,0.0,0.0,-0.09899999999999931,-0.09899999999999931,-0.09899999999999931
1997-01-14,1.983,2.963,4.065,5.025,False,False,False,False,False,False,0.0,6.5317,-0.09649999999999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
