,Date,2yr,5yr,10yr,20yr
0,1988-01-04,3.691,3.823,4.015,4.229
1,1988-01-05,3.691,3.823,4.015,4.229
2,1988-01-06,3.691,3.823,4.015,4.229
3,1988-01-07,3.691,3.823,4.015,4.229
4,1988-01-08,3.691,3.823,4.015,4.229
5,1988-01-11,3.72,3.847,4.015,4.232
6,1988-01-12,3.72,3.847,4.015,4.232
7,1988-01-13,3.72,3.847,4.015,4.232
8,1988-01-14,3.72,3.847,4.015,4.232
9,1988-01-15,3.72,3.847,4.015,4.232
10,1988-01-18,3.699,3.82,4.025,4.292
11,1988-01-19,3.699,3.82,4.025,4.292
12,1988-01-20,3.699,3.82,4.025,4.292
13,1988-01-21,3.699,3.82,4.025,4.292
14,1988-01-22,3.699,3.82,4.025,4.292
15,1988-01-25,3.101,3.705,4.085,4.286
16,1988-01-26,3.101,3.705,4.085,4.286
17,1988-01-27,3.101,3.705,4.085,4.286
18,1988-01-28,3.101,3.705,4.085,4.286
19,1988-01-29,3.218,3.695,4.092,4.326
20,1988-02-01,3.199,3.69,4.115,4.364
21,1988-02-02,3.199,3.69,4.115,4.364
22,1988-02-03,3.199,3.69,4.115,4.364
23,1988-02-04,3.199,3.69,4.115,4.364
24,1988-02-05,3.199,3.69,4.115,4.364
25,1988-02-08,3.495,3.736,4.08,4.365
26,1988-02-09,3.495,3.736,4.08,4.365
27,1988-02-10,3.495,3.736,4.08,4.365
28,1988-02-11,3.495,3.736,4.08,4.365
29,1988-02-12,3.495,3.736,4.08,4.365
30,1988-02-15,2.946,3.716,4.134,4.346
31,1988-02-16,2.946,3.716,4.134,4.346
32,1988-02-17,2.946,3.716,4.134,4.346
33,1988-02-18,2.946,3.716,4.134,4.346
34,1988-02-19,2.946,3.716,4.134,4.346
35,1988-02-22,3.71,3.777,4.061,4.36
36,1988-02-23,3.71,3.777,4.061,4.36
37,1988-02-24,3.71,3.777,4.061,4.36
38,1988-02-25,3.71,3.777,4.061,4.36
39,1988-02-26,3.71,3.777,4.061,4.36
40,1988-02-29,2.99,3.672,4.098,4.332
41,1988-03-01,2.99,3.672,4.098,4.332
42,1988-03-02,2.99,3.672,4.098,4.332
43,1988-03-03,2.99,3.672,4.098,4.332
44,1988-03-04,2.99,3.672,4.098,4.332
45,1988-03-07,3.097,3.725,4.084,4.272
46,1988-03-08,3.097,3.725,4.084,4.272
47,1988-03-09,3.097,3.725,4.084,4.272
48,1988-03-10,3.097,3.725,4.084,4.272
49,1988-03-11,3.097,3.725,4.084,4.272
50,1988-03-14,3.07,3.728,4.086,4.271
51,1988-03-15,3.07,3.728,4.086,4.271
52,1988-03-16,3.07,3.728,4.086,4.271
53,1988-03-17,3.07,3.728,4.086,4.271
54,1988-03-18,3.07,3.728,4.086,4.271
