index,Date,2yr,5yr,10yr,20yr,year,inflation,Unnamed: 2,real_interest_rate
260,1989-01-02,4.425,4.074,4.107,4.374,1989-01-01,3.15,in %,0.9277750848279087
261,1989-01-03,4.402,4.082,4.104,4.363,1989-01-01,3.15,in %,0.9248666989820631
262,1989-01-04,4.402,4.082,4.104,4.363,1989-01-01,3.15,in %,0.9248666989820631
263,1989-01-05,4.402,4.082,4.104,4.363,1989-01-01,3.15,in %,0.9248666989820631
264,1989-01-06,4.402,4.082,4.104,4.363,1989-01-01,3.15,in %,0.9248666989820631
265,1989-01-09,4.736,4.159,4.265,4.387,1989-01-01,3.15,in %,1.0809500727096522
266,1989-01-10,4.736,4.159,4.265,4.387,1989-01-01,3.15,in %,1.0809500727096522
267,1989-01-11,4.736,4.159,4.265,4.387,1989-01-01,3.15,in %,1.0809500727096522
268,1989-01-12,4.736,4.159,4.265,4.387,1989-01-01,3.15,in %,1.0809500727096522
269,1989-01-13,4.736,4.159,4.265,4.387,1989-01-01,3.15,in %,1.0809500727096522
270,1989-01-16,5.066,4.478,4.24,4.377,1989-01-01,3.15,in %,1.0567135239941683
271,1989-01-17,5.066,4.478,4.24,4.377,1989-01-01,3.15,in %,1.0567135239941683
272,1989-01-18,5.066,4.478,4.24,4.377,1989-01-01,3.15,in %,1.0567135239941683
273,1989-01-19,5.066,4.478,4.24,4.377,1989-01-01,3.15,in %,1.0567135239941683
274,1989-01-20,5.066,4.478,4.24,4.377,1989-01-01,3.15,in %,1.0567135239941683
275,1989-01-23,5.158,4.598,4.371,4.462,1989-01-01,3.15,in %,1.18371303926319
276,1989-01-24,5.158,4.598,4.371,4.462,1989-01-01,3.15,in %,1.18371303926319
277,1989-01-25,5.158,4.598,4.371,4.462,1989-01-01,3.15,in %,1.18371303926319
278,1989-01-26,5.158,4.598,4.371,4.462,1989-01-01,3.15,in %,1.18371303926319
279,1989-01-27,5.158,4.598,4.371,4.462,1989-01-01,3.15,in %,1.18371303926319
280,1989-01-30,5.185,4.688,4.488,4.458,1989-01-01,3.15,in %,1.2971400872515693
281,1989-01-31,5.14,4.653,4.517,4.45,1989-01-01,3.15,in %,1.3252544837615066
282,1989-02-01,5.14,4.653,4.517,4.45,1989-01-01,3.15,in %,1.3252544837615066
283,1989-02-02,5.14,4.653,4.517,4.45,1989-01-01,3.15,in %,1.3252544837615066
284,1989-02-03,5.14,4.653,4.517,4.45,1989-01-01,3.15,in %,1.3252544837615066
285,1989-02-06,5.292,4.764,4.541,4.448,1989-01-01,3.15,in %,1.3485215705283382
286,1989-02-07,5.292,4.764,4.541,4.448,1989-01-01,3.15,in %,1.3485215705283382
287,1989-02-08,5.292,4.764,4.541,4.448,1989-01-01,3.15,in %,1.3485215705283382
288,1989-02-09,5.292,4.764,4.541,4.448,1989-01-01,3.15,in %,1.3485215705283382
289,1989-02-10,5.292,4.764,4.541,4.448,1989-01-01,3.15,in %,1.3485215705283382
290,1989-02-13,5.265,4.773,4.562,4.64,1989-01-01,3.15,in %,1.3688802714493464
291,1989-02-14,5.265,4.773,4.562,4.64,1989-01-01,3.15,in %,1.3688802714493464
292,1989-02-15,5.265,4.773,4.562,4.64,1989-01-01,3.15,in %,1.3688802714493464
293,1989-02-16,5.265,4.773,4.562,4.64,1989-01-01,3.15,in %,1.3688802714493464
294,1989-02-17,5.265,4.773,4.562,4.64,1989-01-01,3.15,in %,1.3688802714493464
295,1989-02-20,5.435,4.839,4.589,4.691,1989-01-01,3.15,in %,1.395055744062046
296,1989-02-21,5.435,4.839,4.589,4.691,1989-01-01,3.15,in %,1.395055744062046
297,1989-02-22,5.435,4.839,4.589,4.691,1989-01-01,3.15,in %,1.395055744062046
298,1989-02-23,5.435,4.839,4.589,4.691,1989-01-01,3.15,in %,1.395055744062046
299,1989-02-24,5.435,4.839,4.589,4.691,1989-01-01,3.15,in %,1.395055744062046
300,1989-02-27,5.677,4.838,4.614,4.703,1989-01-01,3.15,in %,1.4192922927775076
301,1989-02-28,5.522,4.926,4.719,4.615,1989-01-01,3.15,in %,1.5210857973824599
302,1989-03-01,5.522,4.926,4.719,4.615,1989-01-01,3.15,in %,1.5210857973824599
303,1989-03-02,5.522,4.926,4.719,4.615,1989-01-01,3.15,in %,1.5210857973824599
304,1989-03-03,5.522,4.926,4.719,4.615,1989-01-01,3.15,in %,1.5210857973824599
305,1989-03-06,5.532,4.886,4.725,4.793,1989-01-01,3.15,in %,1.5269025690741511
306,1989-03-07,5.532,4.886,4.725,4.793,1989-01-01,3.15,in %,1.5269025690741511
307,1989-03-08,5.532,4.886,4.725,4.793,1989-01-01,3.15,in %,1.5269025690741511
308,1989-03-09,5.532,4.886,4.725,4.793,1989-01-01,3.15,in %,1.5269025690741511
